[00:00] 好我们继续讲生成式软件工程
[59:57] 然后再大概想我架构应该怎么做
[60:00] 再去写代码
[60:01] 不管这个写代码的是软件工程师还是AI
[60:05] 这个流程依然是成立的
[60:07] 所以他的这个都是成立的
[60:10] 所以你看到了这个在现在AI的时代
[60:15] 每个人都可以阅读一手的信息
[60:17] 你可以直接回到这个历史的背景上
[60:19] 而且AI既知道过去
[60:20] 又知道现在你还有那个历史的原文
[60:23] 然后你会发现有些东西你在书上读不懂的
[60:26] 就你两页纸
[60:27] 那个书看起来不长
[60:28] 两页纸
[60:29] 讲瀑布模型读了两遍还没搞懂
[60:32] 然后你回去看这个原文
[60:33] 马上就看懂了
[60:35] 所以知识的压缩就是过去过去
[60:39] 比如说像我上学的时候或者再早的时候
[60:42] 这个如果你要查证一个知识网络
[60:45] 是几乎不可能的事情
[60:46] 你要去图书馆翻很多的资料
[60:48] 图书馆的索引机制建的也不好
[60:50] 虽然图书馆确实也有索引机制
[60:52] 如果你要找到那个精确的资料
[60:54] 你要花去无穷多的时间
[60:56] 所以你那个时候
[60:57] 你是不可能通过一手资料来学习的
[61:00] 你必须要经过教科书做知识的有损压缩
[61:03] 那有经验的人会
[61:05] 所以大家就是有的教科书写的好
[61:07] 有的教科书是防自学的
[61:08] 教科书写的好的人
[61:09] 他就可以
[61:11] 他读过一手的信息
[61:12] 他也他可能也能共情
[61:14] 我觉得好的
[61:15] 好的老师可以共情学生
[61:16] 他知道学生想要什么
[61:18] 学生什么地方会不明白
[61:19] 所以他把这一手的信息做一个压缩
[61:21] 同时对于阅读者的损失是很小的
[61:25] 但今天这些东西也都不要了
[61:27] 因为你可以直接就说我作为一个
[61:31] 我作为一个老师
[61:33] 我觉得我不需要再做压缩
[61:35] 因为我做压缩对每个人的压缩都是有损的
[61:39] 而且对不同人压缩损失了不同的部分
[61:41] 如果我一对一的教学
[61:43] 我就可以做最合适你的压缩
[61:45] 但不需要你现在直接对着你的圆
[61:50] 我只要把这个知识的脉络
[61:52] 把知识拆解开来
[61:53] 拆解成很多的
[61:54] 这个我好像有一次课的时候讲过我
[61:56] 我怎么理解这个世界的知识
[61:59] 把知识拆成一个一个的发现的点
[62:01] 然后把这个你只需要把这个点和它的原文拿到
[62:05] 然后做一个属于你自己的压缩就可以了
[62:09] 所以有些有些东西
[62:10] 比如说我们花了很大的代价去
[62:14] 比如说我的
[62:16] 我们有很多这个导师
[62:17] 老师也在这个这个计划里去建设
[62:21] 这个比较先进的课程
[62:23] 然后很然后我觉得比较比较有趣的一件事
[62:27] 是这样的
[62:29] 这个其实是个很好的计划
[62:30] 因为在在查证知识网络非常费时的时候
[62:35] 如果有真正的专家能能够帮你做好的压缩
[62:39] 那这种毫无疑问是有价值的
[62:41] 但是在AI的时代就是AI是摧毁性的对一
[62:45] 整个领域
[62:47] 你可能在里面投入了这个百万千万
[62:51] 甚至上亿的人民币
[62:52] 但最后都是一个模型
[62:53] 就把你轮子就碾就碾掉了
[62:55] 一个可能是个DeepSeek这样的
[62:57] flash这样的模型刚才在帮我
[63:00] 你有任何的问题我都可以直接问他
[63:07] 比如说你能了解一下
[63:11] 解释一下这个瀑布模型在软件工程里
[63:17] 到底是为什么怎么误读了
[63:21] 你会产生疑问产生疑问
[63:26] 然后你就直直接跟他跟他对话
[63:28] 然后他可以在这个过程当中
[63:30] 注意找到更多的原文
[63:33] 找到甚至找到这个整个误读的链
[63:36] 怎么样
[63:36] 这个教材一级一级一级一级一级
[63:38] 最后最后到一个你手上拿的这个软件工程
[63:41] 灌水教材上面是怎么一步一步的
[63:49] 曲解这个诶他有一呵
[63:59] 哼这个解释还挺挺make sense的
[64:02] 虽然可能也许你也许选择不相信AI再去追问
[64:05] 或者用一个更好的模型让它联网更好
[64:07] 瀑布好话好背好
[64:08] 出题可以作为第一个模型讲
[64:10] 然后而且这个每一个新方法都说这个
[64:14] 瀑布是这个史上最好用的反派
[64:16] 哎他说的很
[64:17] 就真的是这样
[64:19] 因为本身他就是错的
[64:21] 本身这个1970年的文案已经告诉你
[64:23] 不能瀑布
[64:23] 就1970年就告诉你要做MVP呵
[64:28] 而且确实不成熟
[64:31] 虚构
[64:31] 在在在这里对
[64:34] 挺好的
[64:35] 有意思对这是这是关于这个这个文章
[64:42] 当当然我已经带着大家读过这个文章了
[64:44] 所以这几页就AI生成的
[64:46] 也不那么重要了
[64:48] 里面文章告诉我们叫do it twice
[64:50] 一个很重要的工程理解
[64:52] 但今天就是做
[64:54] 做MVP
[64:55] 那其实你也可以在不同的各种各样的
[64:58] 现在的软件开发的背景下去了解
[65:02] 比如说那如果我们用TDD叫test driven development
[65:07] 叫叫这个测试驱动开发
[65:10] 去理解这个工作
[65:14] 如何解释
[65:15] 如何用这个工作来解释TDD
[65:19] 他都是互相的
[65:20] 我们今天的概念
[65:23] 就今天正确的practice可以映射到过去
[65:26] 然后过去正确的这个first principle
[65:28] 也可以用来映射到今天
[65:30] 我们来看这个
[65:32] 一个7B的小模型是什么样的
[65:37] 说Royce 他讲了一件事
[65:39] 他说缺陷被发现的时间
[65:42] 越晚它带来的返工代价就越大
[65:45] 显然这个事是成立的
[65:47] 就跟你们做OJ都会出现这个事
[65:50] 你们一开始的时候脑子一热
[65:52] 想一个算法
[65:52] 这个算法不对的
[65:54] 然后就去写代码了
[65:55] 写代码写完以后发现样例不对
[65:57] 然后你对着样例跑了你的那个算法
[65:59] 你发现哎呀完了我这个算法整个就错了
[66:02] 这就是呵
[66:04] 这就是一个典型的瀑布模型的失败
[66:06] 然后你在TDD的意义上
[66:09] 你看设计先行
[66:11] 那你设计先行的时候
[66:13] 你就干脆你就先把测试用例定好
[66:16] 你输入这个它就应该经历这个流程
[66:19] 输出这个
[66:20] 然后你马上就对
[66:21] 还有一些敏捷开发等的概念
[66:23] 就可以用上了
[66:24] 所以实际上实际上这个
[66:30] 现在做的事情不完全颠覆过去的经验
[66:33] 这些老的东西我一直说这个我很喜欢这些
[66:37] 很多图灵奖的工作
[66:39] 他为什么能得图灵奖
[66:40] 就是因为他确实是在一个
[66:42] 完全大家不知道的情况下
[66:44] 确立了一个first principle
[66:46] 告诉大家这件事情应该这么做
[66:48] 不仅是图灵奖
[66:48] 就这个就这个奠定了软件工程基础的
[66:52] 这个Royce 的这个
[66:54] 瀑布我们叫它瀑布模型
[66:56] 开玩笑叫瀑布模型的paper
[66:58] 不是瀑布模型
[66:59] Managing the development of large software systems
[67:01] 这样的一个经典的文章
[67:03] 他就给我们很多的启发
[67:05] 在它上面长出了这个世界的很多分支
[67:08] 当然也有更多好玩的是
[67:09] 你有一天发现他一开始有个地方方向想错了
[67:12] 然后把全人类都带歪了
[67:14] 如果全人类从某一点开始
[67:17] 这个能够换一个方向
[67:20] 那这个全人类
[67:22] 也许就立即快速走上了正确的道路
[67:24] 比如说直流电和交流电
[67:26] 爱迪生和这个特斯拉OK
[67:29] 这是three twice
[67:31] 然后你也可以用敏捷开发去理解这个
[67:34] do do it twice
[67:36] 你不需要把pilot理解成一个完整的流水
[67:40] 而是所谓的敏捷就是你的第一个版本
[67:44] 你不是doing it twice
[67:45] 你是你是doing it
[67:46] Infinite many times
[67:47] 你上来第一个版本
[67:50] 哪怕它只有一个hello world
[67:51] 它只是
[67:52] 打印一个你的流
[67:54] 或者说就是每个模块都自报一下家门
[67:56] 能把这个模块串起来
[67:58] 这也是一个好的product
[68:00] 然后在在这个意义上不断的把软件向后
[68:04] 向后向后演进
[68:06] 让关键假设尽早遇到证据
[68:09] 你一开始不确定的东西
[68:11] 立即因为你有一个原型了
[68:14] 有一个敏捷的原型了
[68:15] 你就可以立即验证它
[68:16] 所以你看这个first principle
[68:18] 在这么多年软件工程发展的实践当中
[68:22] 都还是存在的
[68:23] 所以说AI第一个AI来的很焦虑
[68:26] 就是AI确实学会了AI
[68:27] 也许他品味有一天也学会了
[68:30] 就他可以从这些论文里面学到这个品味
[68:32] 那我们很焦虑AI能帮我们做事
[68:35] 但是我们仍然
[68:37] 或者说现在人类还有一种傲慢
[68:40] 觉得我们还是希望能够理解AI到底做了什么
[68:43] 能够判断AI到底做的
[68:45] 就真的到那一天
[68:46] AI做的所有东西都是都是远超人类
[68:49] 都是对的
[68:49] 然后就只有人会犯错误
[68:51] AI不会犯错误的时候
[68:52] 那
[68:53] 那就那就我们就没有
[68:54] 我们就不要去理解它了
[68:55] 我们也理解
[68:56] 可能也放弃就去放弃理解它
[68:58] 但至少在今天
[68:59] 这AI虽然才智在增长
[69:01] 但我们还是至少能驾驭
[69:05] 能理解AI的人能活下来
[69:07] 那大家在这个斩杀线上上升的基础上
[69:09] 你就知道我们怎么样用好AI怎么样
[69:13] 去理解这个里面的软件工程的啊智慧
[69:16] 那我是怎么理解这个啊Royce 的这个pilot的model
[69:21] 我因为我是一个computer science的人
[69:25] 我们往前一点
[69:27] 对坎贝尔3141点
[69:28] 然后我说
[69:32] 我把这个Royce 的模型理解成一种data dependency
[69:39] 然后修改是有代价的
[69:42] 这样可以吗
[69:44] 你就可以跟他跟他聊
[69:45] 当然这是我自己的理解
[69:47] 我觉得还是还是自洽的
[69:48] 你看这个瀑布的模型
[69:51] 他说从需求分析到系统设计
[69:53] 到系统实现到测试验证到交付维护
[69:55] 你可以把它想象成每一个过程
[69:57] 都想象成是一个program
[69:59] 就人
[69:59] 我现在把人想象成程序
[70:01] 人和程序就是等价的
[70:03] 我的人脑人
[70:04] 我就神经网络
[70:04] 然后我可以我可以做chain of thought
[70:07] 我也学会了
[70:08] 我先学会了语言
[70:09] 我学会了说话
[70:10] 然后你们在内心
[70:12] 我不知道你们是怎么样的
[70:13] 至少我自己在想问题的时候
[70:15] 我还是会对齐到语言上
[70:17] 我哪怕不说话
[70:18] 我依然会说
[70:19] OK我要我要这样或者怎么样怎么样
[70:21] 这样会有什么样的后果
[70:22] 我还是用语言来对齐
[70:23] 我的我的内脑内的这个思维链的思考思考的
[70:27] 所以chain of thought 是一个我觉得很有意思的机制
[70:30] 然后这就是一个如果你把它产生程序和artifact
[70:34] 那就是一个data dependency graph
[70:36] 他是一个有向无环图
[70:38] 如果我在就我可以把这个稍微展开一点
[70:40] 比如说我在做需求的时候
[70:42] 我需求里面有好几个点
[70:44] 这些当然也有之间可能也有相互的关联
[70:46] 那有些可能是没有关联的
[70:47] 那我在做设计的时候
[70:49] 我的这个设计可能就和这些需求的点是关联的
[70:52] 我做的这个设计
[70:53] 然后我做这个设计又是关联的
[70:56] 又是关联的
[70:57] 然后这个关联关系会传递
[71:00] 关联关系会传递
[71:03] 诶然后我有一个这样的这个data
[71:06] Flow graph
[71:08] 那就意味着如果我这种一头扎下来一旦发现
[71:14] 所以你看跟这跟这个跟 Royce的解释
[71:16] 又是又是一样的
[71:18] 如果一旦发现这个test错了
[71:21] 然后错了
[71:22] 如果我们一路往上追溯
[71:24] 发现这个这几个design错了
[71:27] 那就惨了
[71:28] 所有依赖他的东西全部都毁掉了
[71:31] 所以这就解释了为什么cost 很高对
[71:36] 所以你看你可以用自己的每一个人
[71:38] 就我相信每一个人对这个模型的理解
[71:41] 都是都可以是不一样的
[71:44] 也就是为什么我们非常需要这个一个
[71:49] 非常非常需要一个个性化的教学
[71:52] 每一个人都有自己的diversity
[71:55] 他成长的经历不同
[71:56] 然后我就觉得
[71:57] 因为我是做还算是一个做过一点PL的
[72:01] 操作系统人
[72:02] 所以我就用会很自然的用我在computer science里面
[72:04] 习得的概念去解释这个解解释这个世界
[72:08] 这个这基本就是软件工程后来真正采用的
[72:12] 形式法方式
[72:13] 这也是一个first principle
[72:15] 然后他解释了这个
[72:17] 解释了这个
[72:21] 解释了这个这个模型
[72:22] 那如果我们知道
[72:26] 如果我们知道这个data dependency
[72:29] 一旦这个改
[72:31] 如果这个触及到它上游的东西需要修改
[72:34] 那我们应该怎么办
[72:37] 那我们很自然的
[72:39] 我们可以把它割小
[72:41] MVP就来了
[72:42] 我们不要一次性的产生大量的dependency
[72:45] 而是我们我们从一个这个宽度优先
[72:48] 这是一个BFS
[72:50] 你的一个用BFS的方式构建软件
[72:53] 先做第一层再做第二层
[72:54] 再做第三层
[72:55] 我们变成一个DFS
[72:59] 这不就是敏捷开发吗
[73:00] 这不就是敏捷开发吗
[73:02] 这个我们先做一个minimal viable product
[73:07] 把一些重要的优先级最高的这个dependency
[73:11] 流程走通哎
[73:13] 走通了以后
[73:14] 在不断的向右扩展扩展
[73:15] 扩展一个DFS
[73:16] 一个一个迭代的
[73:19] 这就这就对了
[73:21] 这就这就对了
[73:21] 这就所以这就是软件软件工程
[73:23] 没有什么
[73:25] 没有什么真正真正真正困难的
[73:27] 这个我们越早能够得到反馈
[73:31] 我们就越能把这个路线上面的不确定性
[73:34] 这个gap
[73:35] 因为我们每一个每一个阶段这个瀑布模型
[73:38] 所以Royce 模型里面其实有insight的
[73:40] Royce 模型里面它
[73:42] 比如说前期的阶段
[73:43] 比如说需求阶段
[73:44] 它就对应的我们要把intent确定
[73:48] 要把intent的确定
[73:49] 然后在设计设计阶段
[73:52] 我们要把spec基本上确定
[73:53] 当然可能比如说这个SPA spec
[73:56] 也会在是这个需求的阶段
[73:58] 也会也会稍微做一点
[74:00] 然后最后到到这个编码测试的时候
[74:03] 才是implementation
[74:04] 然后因为我们知道这个东西是有gap的
[74:07] 然后这个gap就意味着
[74:09] 每一个intent都会拆成好多个小点
[74:11] 而且会对后面产生dependency
[74:13] 所以我们应该
[74:15] 做这个MVP或者应该做敏捷开发
[74:19] 或者应该做TDD
[74:21] 它是显然是一个正确的啊事情对
[74:24] 所以所以我觉得是阅读这些经典的著作
[74:28] 是啊真的是非常有启发性的
[74:31] 也是一个非常值得大家学习的
[74:34] 学习方式
[74:35] 因为一般经典来说
[74:37] 经典都是里记录了一个领域
[74:39] 最初遇到的也是最重要的那个根本性的问题
[74:43] 然后他在方向上找到一个出路
[74:45] 尽管可能我在
[74:47] 我在事后我也可以援引其他的概念
[74:50] 比它解决的好
[74:51] 就比如说我就很喜欢这个data data dependency
[74:54] 一会你会看到data dependency
[74:55] 在整个这个那软件工程的发展历史上
[74:59] 都是可以
[75:00] 你都可以去往这个方向啊去思考
[75:02] 然后去导出更多的啊概念
[75:05] 这样对好
[75:07] 那么这是软件工程的
[75:11] 相当于我觉得这个有点像起点了
[75:13] 就是你是你学软件工程
[75:15] 这个这个first principle
[75:16] 是这个就是它开发就这个软件到底是什么
[75:19] 你当然可以用定义说是代码和数据
[75:22] 但当你从这个视角看的时候
[75:24] 你就能继续往后推出更多的东西
[75:27] 然后在现在
[75:30] 经历了几十年的发展
[75:32] 软件工程变成什么
[75:34] 为了解决这里的问题
[75:36] 他为每一个阶段都创建了方法和工具
[75:41] 然而这些方法和工具可以减少你返工的概率
[75:46] 比如说我不知道这边有没有软件的
[75:49] 软软件的同学
[75:50] 软件同学
[75:50] 你们学软工课的时候
[75:52] 这个在设计阶段它应该是个ISO标准的
[75:55] 但其实我对这个印象已经不深了
[75:57] 所以我不是做这个方面的软件工程的
[76:00] 比如说这个地方它有一个checklist
[76:04] 你很烦
[76:05] 你上那个软件工程课的时候
[76:07] 你老师让你写一个文档
[76:08] 然后他大概有个非常长的checklist
[76:10] 说这个有没有做到这个有没有做到
[76:12] 这个有没有做到有没有沟通过
[76:14] 然后然后你就觉得nonsense
[76:17] 因为你是做OJ题的
[76:18] 你觉得这个checklist的nonsense
[76:20] 但checklist实际上是有用的
[76:23] 它减少了你返工的概率
[76:25] 比如说这个checklist最后总有一个
[76:27] 你是不是和这个客户最后沟通过
[76:30] 然后你在学习
[76:31] 你在上学的时候会觉得诶这个
[76:33] 很讨厌
[76:35] 但是当你真的和客户沟通过
[76:37] 并且给他打勾的时候
[76:38] 实际上你大幅减少了这个intent的
[76:41] 不符合客户要求的概率
[76:45] 这就是一个方法
[76:46] 这也是一种工具
[76:47] 这是一个
[76:48] 一个有人文关怀的工具
[76:49] 它没有没有任何的代码
[76:51] 然后当然
[76:52] 我们现在比如说当我们说
[76:54] 比如说现在我们做软件工程研究的时候
[76:56] 更多时候说哈是当我们有了代码以后
[77:01] 当我们比如说有代码
[77:02] 有的代码后能不能做自动的测试
[77:05] 无穷多的这个灌水的paper
[77:07] 然后有了代码以后
[77:08] 里面有没有这个bad smell
[77:11] bad smell这个你们你们都知道
[77:13] 就比如说你如果看到一个代码
[77:15] 它在等号左右从来不写空格
[77:19] 你会认为这个代码是不好的代码
[77:21] 这个这个规定在AI时代之前都成立
[77:28] 但是我发现这个在GPT-6发
[77:30] 这个学会省token以后
[77:32] 这件事情变了
[77:33] 他会写出这个极为无法理解的代码
[77:36] 然后把很多的语句放到一行里
[77:38] 然后那个代码就是对的
[77:39] 然后我不知道他是怎么弄对的
[77:41] 但是反正它是对的
[77:42] 然后也许我们永远不应该去读那样的代码
[77:47] 这是个有意思的观察
[77:50] 但至少我们知道的是什么
[77:51] 是软件工程
[77:52] 当有了这样的一个起点
[77:54] 为了把这个大的工程系统性的工程扶起来
[77:57] 软件工程里面还有很多很多的细小的点
[78:01] 你们如果去读研究生
[78:02] 如果要选这个
[78:03] 比如说软件工程方向
[78:04] 你们大概率会在这个里面
[78:06] 那个非常小的一点
[78:08] 比如说针对这个软件开发流程当中
[78:11] 编码的这个过程当中
[78:14] 这个Java代码的这一种类型的
[78:17] bad smell的一个什么样更好的检测
[78:20] 去做一个什么东西
[78:22] 当然你在就你在做深的过程中
[78:25] 你不要忘记去看这个树林
[78:28] 去看这些经典的东西
[78:31] 你就会有更好的认知
[78:32] 就是对人来说是深度和广度都是
[78:36] 你要在深度里面训练
[78:38] 你才有更长的思维链
[78:39] 你在广度里面训练
[78:40] 才有更好的对整个这个世界的啊感觉
[78:44] 然后还有意思
[78:46] 你就会发现所谓的软件工程
[78:48] 为了在每一个阶段创建方法学和工具
[78:51] 它就需要在不同的阶段用不同的语言
[78:54] 比如说在checklist的时候
[78:56] 你是不太可能
[78:58] 尤其是在大语言模型时代之前
[79:00] 你是不太可能用一个编程语言
[79:03] 去做一个checklist的
[79:05] 虽然今天我们都用Markdown
[79:06] 但那个时候真的就是一个docx的文档
[79:08] 然后你把这个文档打印出来
[79:10] 然后要存档
[79:11] 你可能是手写的
[79:12] 跟客户沟通的那个哪个哪个记录
[79:16] 然后你到这个编程的时候又有编程语言
[79:18] 然后在编程语言和之前
[79:21] 你想马上就看到了一个gap
[79:24] 那个时候没有大语言模型这种万能的编译器
[79:27] 你只要有自然语言
[79:27] 就可以把它编译成任何一种语言
[79:29] 它在不同的阶段你会发现
[79:32] 马上你就发现有些在有些比如在设计阶段
[79:39] 我们没有一个语言来帮助你做设计
[79:42] 再比如说在1970年的时候
[79:44] 在设计的时候
[79:45] 那大家用的都是自然语言
[79:48] 就是一个文档
[79:49] 是一个设计文档
[79:50] 你们学软件工程
[79:51] 我记得我那个时候学软件工程就是写设计文档
[79:53] 然后你写先写需求文档
[79:55] 需求文档写完写设计文档
[79:56] follow那个瀑布的啊模型诶
[80:00] 你马上就会想文档的最大缺点是什么
[80:05] 最大缺点是写文档的是人人会产生幻觉
[80:10] 人会产生typo
[80:12] 人和人之间
[80:13] 当我们讲同一件事的时候
[80:15] 是无法对齐的
[80:16] 这件事情在你和室友之间已经发生过无数次了
[80:19] 你说的是这个室友理解成了那个
[80:21] 你花了很多的时间跟他沟通和啊对齐
[80:24] 当然我觉得跟比如说跟女朋友对齐
[80:26] 会比跟室友对齐更困难
[80:27] 这个这个不重要
[80:30] 你作为一个软工人
[80:33] 你在first principle上
[80:34] 如果你想要应用这句话
[80:38] 为设计阶段创建一个方法
[80:40] 学创建工具去减少返工的概率
[80:44] 那你要你要做什么
[80:46] 你要做的是一个介于自然语言和编程语言
[80:50] 之间的一个设计语言
[80:53] 当然也是一个domain specific language
[80:56] 哎你们想到什么了
[80:58] 你们想到了软件工程课上面讲的
[80:59] 各种各样的东西
[81:01] checklist就这个checklist
[81:04] 虽然它是自然语言
[81:05] 但实际上它也是一种中间语言
[81:08] 因为它有格式的规范
[81:09] 它要求你必须是一条一条一条的
[81:12] 每一条必须要打勾或者打叉
[81:14] 它已经是介于一个自然和形式化
[81:16] 它是有语义的
[81:17] 它是有一定的语义的
[81:18] 这个语义当然是虽然是由人来检查的
[81:21] 但人待遇对于勾和叉来说的对齐
[81:24] 就比我直接写一个文档的对齐
[81:26] 要来的更formal一点
[81:28] 所以你看他这个formal的程度
[81:30] 就是它有确定性的语义的程度
[81:33] 是从设计的阶段到下面越来越formal的
[81:39] 这也迎合了
[81:40] 从intent到spec到implementation之间的这个gap的解决
[81:46] 所以你就开始理解软件工程这个学科了
[81:49] 那我们学的时候呢是什么
[81:50] 怎么学
[81:51] 我们是bottom-up的
[81:52] 我们是先学编程
[81:55] 因为你所有的你看计算机软件工程
[81:57] 你们第一第一件事是先学工程
[81:59] 额
[82:00] 先先学怎么做一个码农
[82:02] 因为你不理解代码
[82:04] 你就没有办法理解整个过程
[82:07] 但是AI来了以后
[82:08] 我觉得变了
[82:08] 你可以先从产品经理开始做
[82:11] 哎产品完了
[82:15] 我脑子卡壳了
[82:18] 产品是这个产吗
[82:19] 呵啊不是这个哎我脑子突然卡壳了
[82:25] 就product ok
[82:28] 短路了
[82:29] 我上年纪了
[82:30] 这个
[82:32] 但anyway不重要
[82:33] 这个你是可以先先了解这个整个过程的
[82:37] 就是我觉得我们软以后肯computer science
[82:40] 如果要可能我要来改的话
[82:43] 要这个
[82:45] 就是产product
[82:47] 就第一个学期就可以做
[82:49] 因为反正你后面所有的事情都是vibe coding
[82:52] 然后你不去控制它的质量
[82:53] 你也不需要知道
[82:55] 如果我上第一门课
[82:56] 我不去
[82:56] 你不需要控制这个质量
[82:57] 因为你根本就不知道不理解代码
[82:59] 不理解后面是怎么运作
[83:01] 但你依然可以设计设计好的好的产品
[83:04] 你只要有好的想法就可以做对
[83:08] 然后在这个过程当中
[83:09] 其实诞生了很多的有软件工程智慧的方法
[83:13] 和和工具
[83:15] 比如说这个checklist
[83:17] 然后它不仅有checklist
[83:18] 还有一些像这种决策表
[83:19] 就那种决策树
[83:20] 就说他有一个就很好玩
[83:22] 就是就你们有大家觉得我是个理科生
[83:26] 我在软件工程学院学软件学院学文科
[83:29] 他给我一个checklist
[83:31] 说只有当所有的这个勾都打上了
[83:35] 你才能进入下一个阶段
[83:38] 这是什么
[83:38] 对我来说是nonsense
[83:40] 但是这个nonsense 赋予了
[83:42] 这个形式的语义避免了遗漏和矛盾
[83:45] 他会要求你
[83:47] 他甚至会有这种checklist
[83:48] 要求你把所有的文档两两摆在一起审查一遍
[83:52] 你会想我靠
[83:53] 我才不想做这个事儿
[83:54] 我是写程序的
[83:55] 但就是这样的这个两两摆在一起检查一遍
[83:59] 避免了这个gap的漂移
[84:01] 这都是智慧
[84:02] 但是他失败过了
[84:03] 他失败过
[84:04] 然后在管理团队的过程中形成的管理学的经验
[84:06] 这个软工人
[84:08] 也可以学也可以学好
[84:11] 然后还有各种就是比如说在在这个测试上面
[84:14] 也有很多经典的工作
[84:15] 比如说QuickCheck
[84:16] 基本上可算是
[84:17] 我们整个测试领域的这个开山鼻祖之一了
[84:21] 让人描述性质
[84:22] 由工具生成
[84:23] 输入寻找反例
[84:25] 然后这是什么
[84:26] 这体现了一个什么逻辑
[84:28] 你做任何事都会错
[84:30] 你写代码就你做任何翻译
[84:32] 从上到下的翻译都会错
[84:34] 你从specification翻译到代码
[84:36] 尤其你有些隐含的specification
[84:38] 比如说你的这个程序不能crash
[84:41] 不要有null pointer
[84:42] 资源
[84:42] 不能泄露这些隐藏的你代码里面的这些specification
[84:45] 你也要遵守
[84:46] 那你有没有可能我在代码里面就写一个property
[84:52] 然后这个property可以自动变成好多
[84:54] 好多的测试用例
[84:55] 然后如果全部都通过了
[84:57] 我对代码就有更大的信心
[84:59] 你做你现在做的软件就是这样的
[85:02] 你写一份代码
[85:03] 你永远不知道它
[85:05] 但是如果你做了测试
[85:06] 你观察过它的结果
[85:08] 你这就对他信心会多一点
[85:10] 当你独立做的质量保障做的越多
[85:13] 你对他的信心越大
[85:15] 除非是你最终写了一个证明形式化的证明
[85:18] 说证明这个程序你的情形可能是更大的
[85:22] 然后这就是软件工程里面人研究的各种各样的
[85:25] 有意思的这个啊东西
[85:29] 然后再比如说这个需求追踪矩阵
[85:32] 我前面上课的时候讲过一个概念叫traceability
[85:35] 这个是软件软件里面很重要的一个概念
[85:39] 然后这个traceability做的是什么
[85:42] 做的就是把这个data dependency graph里面的
[85:46] 以前是没有的
[85:47] 如果如果你从文件系统或者项目的角度来看
[85:52] 这个软件
[85:55] 那这个软件就是好多的文件
[85:57] 什么/docs下的什么什么什么点MD
[86:00] 然后src 下的一个什么什么点ts
[86:03] 然后又有一些其他的什么什么什么东西
[86:05] 还有个README
[86:08] 我说这是一个为因为文件系统一开始大家用了
[86:11] 而不得不做的一个work around
[86:14] 然后这个东西其实承载了这个东西
[86:18] 他是这个
[86:19] 它承载了整个软件软件
[86:21] 而traceability要求你要用链接
[86:23] 或者用什么文档
[86:24] 或者用什么样的方式
[86:25] 要求你的每一个代码和每一个需求点
[86:29] 都能对得上需求和需求之间也能对得上
[86:33] 需求和设计之间也能对得上
[86:35] 如果所有这些都能对得上
[86:36] 他有这种独立的互相的交叉检验
[86:39] 你对你软件的质量就更有信心了
[86:42] 他也是没办法
[86:42] 就是人的能力是有限
[86:44] 他假设就你我们的每一个人
[86:47] 我们在上大学的时候学这个软件工程
[86:50] 总是觉得我是一个最
[86:52] 我要把自己变成世界上最厉害的码农
[86:55] 这个那就够了
[86:56] 如果我是世界上最厉害的码农
[86:57] 那我就保证能在软件企业里面
[86:59] 找到一个很好的工作
[87:01] 这是这是这个社会给你的contract
[87:03] 然后但是从资本家的角度来看
[87:06] 或者说从你要完成一项任务的角度来看
[87:10] 他更重要看到的是
[87:11] 没有一个码农能够单独完成他的项目
[87:15] 他只能说我码农有好有坏
[87:18] 我得花多少钱雇多少码农
[87:21] 然后最终能把我的项目给交付
[87:24] 所以你看现在每一个人都当产品经理
[87:26] 你第一门课就要学做产品
[87:29] 你要调动
[87:31] 假设你有好多码农了
[87:32] 而且你现在马上就有
[87:34] DeepSeek算
[87:35] 我觉得DeepSeek绝对算是一个相当资深的码农了
[87:40] 绝对不是这种本科毕业生级别的这个
[87:42] 那你马上就可以有2500 并发的低薪码农
[87:46] 你手上有2500人
[87:47] 你怎么管
[87:49] 你高中毕业的时候
[87:50] 你做梦都没有想过
[87:52] 你刚刚高考完
[87:53] 你接受了高考的这个训练以后
[87:55] 你马上就能管2500个人
[87:57] 这个mindset可能要改一改对
[88:00] 所以在这个里面
[88:01] 就诞生过很多很多好玩的东西
[88:03] 比如说这些都是你们如果上软件工程课
[88:09] 可能可能可能会讲
[88:11] 比如说叫design by contract
[88:13] 叫面向契约的
[88:14] 契约的编程
[88:16] 这里有一个文章我就不打开看了
[88:18] 这个Eiffel的这个语言
[88:21] 在一应该是1986年左右吧
[88:23] 1986年
[88:26] 他就说我要把这个Hoare 三元组直接写到代码里
[88:29] 你看这样的一段上古上古语法就知道了
[88:33] 你看他叫function function
[88:35] 然后它那个赋值还有冒号
[88:37] 等于就是这个是
[88:39] 当然这个一路也沿袭下来
[88:41] 有很多语言也采用这个采用了这条线
[88:47] 很自然语言
[88:48] Function is
[88:49] 你在这里写
[88:50] 先写文档
[88:52] 这个函数是干嘛的
[88:54] require它的前置条件
[88:58] do这是代码的实现
[89:00] ensure做完了以后
[89:02] 他能够保证什么
[89:04] 他说好
[89:05] 你可以先就他鼓励你先不要写这个度流控
[89:12] 然后把这个软件的各个模块文档
[89:15] pre condition post condition给写出来
[89:19] 比如说在你有一个账户的取款
[89:22] 当你在写这个precondition post condition的时候
[89:26] 你就会自然的去关联到你的设计
