[00:00] 上一节课的时候
[60:25] agent对自己的能力到底到什么程度是有估计的
[60:29] 所以agent会就当这个任务足够困难的时候
[60:33] 他就会不做了
[60:34] 就如果你让agent出来给我给我生成一个
[60:37] 比如说你有两个两个sheet
[60:39] 然后你要有一个第二个工作表里面
[60:42] 是我的学生的实验成绩
[60:45] 然后第一个工作表里面是我誊好了的
[60:47] 学生的期末考试成绩
[60:48] 然后我说诶给我写个公式
[60:49] 把那个学号对应的那个实验成绩给我拉过来
[60:55] 那这个是在他能力范围内
[60:57] 他就会一把梭
[60:58] 然后这个事情显然超过超出他的能力范围
[61:00] 他还是会分成就试图去分解这个问题
[61:04] 它也会做架构
[61:05] 但你看到
[61:06] 至少今天的模型在做架构这件事上
[61:09] 稍稍是有一些落后的
[61:11] 然后这里你就面对一个问题
[61:14] 如果啊如果你直接把它写成一个公式
[61:19] 你就会得到一个有
[61:22] 对，笑话说我们偷了一个 Lisp 程序
[61:27] 然后看到最后
[61:28] 然后看到最后一页是这个对
[61:32] 就因为这个公式实在是太长了
[61:34] 因为Excel的计算比较有限
[61:37] 它你只能用
[61:38] 就好比是让你们用那种什么 Brainfuck 去
[61:42] 实现一个
[61:44] 一个nontrivial的程序
[61:46] 什么毁灭战士的什么游戏
[61:48] 那你就写出来程序就会是就会是这样的
[61:51] 那这个时候你就需要一个一个抽象
[61:53] 而且而且我觉得AI之前我看到那两个版本
[61:57] 他没有考虑到的是这个需求看起来明确
[62:02] 但其实有很多坑
[62:05] 比如说Excel是有版本的
[62:08] 我们知道Excel从20192023
[62:12] 它不断的都在增加新的功能
[62:15] 比如说
[62:16] 我刚才讲的那个需求叫去查找学号对应的成绩
[62:21] 以前是一个叫VLOOKUP的函数
[62:23] 有没有同学知道吗
[62:25] 没有同学知道
[62:26] 说明你们都不是Excel的power user
[62:28] 太好了
[62:28] 你们是agent时代的第一类人
[62:30] 你要干什么
[62:30] 只要跟agent说就行了
[62:31] 你永远永远不需要再学一个
[62:33] 像吃屎一样的语言了
[62:35] 然后微软大概终于在二零
[62:37] 可能是一九还是二四
[62:38] 反正在某一年的时候终于终于受不了了
[62:40] 然后说我们推出了一个新的叫XLOOKUP
[62:43] extended lookup
[62:45] 然后可以更方便地查找
[62:48] 查找
[62:49] 就这个Excel是在演演化的
[62:52] 那么马上这个需求就会变得模糊不清
[62:57] 我到底是应该兼容一个旧版本的标准
[62:59] 使得我在各种人身上都能打开
[63:03] 我发给那个教务老师
[63:05] 教务老师也能打开这个二维码
[63:07] 还是我要做一个
[63:08] 就是我自己本我自己用一用即抛的
[63:10] 那我就可以用最新的语法实现最简单的公式
[63:15] 那到底是哪个
[63:16] 然后你看到的是
[63:19] 如果需求变了
[63:21] 你的代码维护是极度痛苦的
[63:24] 你想如果AI给你vibe code了一个这个用2023
[63:30] Excel2023公式的这个这个代码好
[63:33] 你突然说哎呀不行
[63:35] 2023不行
[63:35] 要改成22019
[63:37] 要改成2003好
[63:39] 全完蛋
[63:41] 就是就是你这是摧毁性的
[63:42] 你的设计和实现就会从头回到原点
[63:46] 然后重新再做一遍
[63:47] 那对于一个2000行的项目来说
[63:49] 这个是OK的
[63:50] 你可以重做
[63:51] 但是如果这个2000万的项目
[63:53] 已经嵌入到了一个巨大无比的需求
[63:55] 嵌入到教务系统的时候
[63:56] 它和其他的部分产生关联的时候
[64:00] 加钱
[64:02] 那你作为这个项目经理说话
[64:04] 我要加人
[64:04] 我要加钱
[64:05] 然后这样子你这是现实的
[64:09] 对我没办法
[64:10] 我只能用这个方式来满足你的需求
[64:13] 但这显然就是一个架构没有设计好的
[64:16] 这个还有很多
[64:17] 比如说我的需求
[64:19] 可能等我最后出来以后
[64:22] 我对它放的位置不满意
[64:24] 我要把它整体往右移一格
[64:26] 如果你所有的单元格都是这个硬编码的
[64:30] 就直接立即崩溃
[64:32] 你看到他对需求的变更抵抗是很糟糕的
[64:37] 所以如果我们跳出问题看问题
[64:41] 其实这是一个编译的问题
[64:45] 我要开个A
[64:46] 正常是这样的
[64:49] 先把这个关掉嘶
[64:53] 额我可以给我一个从字符串到二维码的伪代码
[65:06] 这个问题本身是清楚的
[65:14] 他显然这个or react react
[65:16] 就是我给他了一个非常明确的问题
[65:20] 他还要去读文件
[65:23] 二维码是完全有规范的好
[65:27] 他给了一个这个你看非常短
[65:34] 非常难
[65:34] 而且这个就是一个代码
[65:37] 他说有什么版本纠错等级掩码
[65:40] 然后他有一个大小
[65:41] 然后他有数据编码
[65:43] 他现在有0100
[65:44] 然后有一个八位组（byte）
[65:45] 怎么然后有一个纠错码
[65:48] 一个纠错码
[65:49] 它是一个 data 乘以 X 的 26 次方模（一个多项式）
[65:52] 然后134个码字
[65:55] 最后加上一个ECC
[65:56] 最后直接放到这个空间里
[65:58] 那为什么这么简单的东西
[66:02] 在Excel里面实现这么困难
[66:05] 这个gap到底是在哪里
[66:07] 如果你跳到问题外面
[66:09] 你就很明显能看到二维码
[66:12] 容易用算法来描述
[66:14] 就这个过程
[66:15] 这个过程我用一个点PY
[66:22] Q2点PY
[66:24] 那就再容易不过了
[66:25] 这就是啊明年保研机试我就出一个这个题
[66:29] 让你让你去实现
[66:31] 最后打一个这个00101矩阵
[66:34] 好像是一个OK的来测试大家是不是有一定的
[66:37] 如果要拖拖网的话
[66:39] 还必须要拖网的话
[66:40] 是一个不错的测试大家的题目
[66:42] 但是我们的要求是Excel
[66:49] 我们不存在任何一个翻译器
[66:52] 一个编译器可以把一个Python编译成Excel
[66:57] 这显然也是做不到的
[66:58] 就Excel它本质上是为了这个财务
[67:01] 报表啊这些而设计的
[67:04] 管理学生的成绩是一个小的数据库
[67:06] 它本身就不是为了做Turing complete计算来做的
[67:11] 所以没有一个这个p y to Excel的编译器
[67:15] 叫py2xl这个东西不存在好
[67:21] 然后如果我们直接把它变成
[67:22] 比如说伪代码或者是自然语言
[67:24] 然后我们用LLM 去编译
[67:27] 那我们也看到了这个LM的这个问题
[67:32] 他就直接上手就做
[67:34] 做了就啊需求漂移的时候
[67:37] 就会遇到很大的问题
[67:39] 所以我们你马上就知道
[67:41] 如果我有个好的架构
[67:43] 我是不是可以在Python和Excel中间构造另外一个语言
[67:51] 然后这个语言它既可以很容易的翻译成Excel
[67:57] 又可以继承一定的Python的功能
[68:02] 就是刚才那个伪代码
[68:03] 我希望我要的东西其实是一个中间的编程语言
[68:06] 然后这个编程语言能够支持描述这些东西
[68:11] 描述这些这些这些运算中需要的东西
[68:14] 然后他们又语言又可以翻译成
[68:17] 我做了这样的一个设计
[68:22] 我这样的语言是可以翻译成Python的
[68:25] 就比如说
[68:26] 你们都写过那种表达式求值的程序
[68:30] 都写过表达式求值的程序
[68:32] 我就是做一个表达式树
[68:34] 比如说我就说比如说异或加什么AB
[68:41] 然后或者是x of1
[68:44] 这可以取出一个
[68:46] 取出一个字符串里面的某一个
[68:50] 这就是一个小的编程语言
[68:52] 然后这个编程语言显然很容易翻译成Python
[68:56] 你直接把它打包就行了
[68:58] 它递归的翻译
[68:59] 你把一个数
[69:00] 你把任何一个表达式树dump出来
[69:02] 你就是递归的左左子树右子树
[69:04] 然后把它根据这个节点拼起来
[69:07] 所以这个语言可以翻译成Python
[69:09] 这个语言也可以翻译成Excel
[69:11] 我只要求每一个节点都有一个
[69:15] 翻译成Excel的规则
[69:18] 我可以把这个东西放到一个格子里
[69:20] 任意的格子都可以
[69:22] 然后把这个结果放到一个格子里
[69:24] 然后我就可以在这里做出一个
[69:26] 这两个格子拼起来的结果
[69:28] 好那我就好办了
[69:30] 我让大语言模型生成这个语言的二维码
[69:37] 计算的逻辑
[69:38] 然后我用把这个语言翻译成Python去验证
[69:42] 看我的这个公式写的
[69:44] 然后这个公式写的
[69:46] 等我公式写对了
[69:47] 我再去写Excel
[69:48] 然后你看到这样的架构
[69:51] 不就是我们刚才在第一个那个最小的例子里
[69:54] 我讲那个get o p t
[69:55] 你说我们要做要写一个程序
[69:58] 写一个命令行的工具
[69:59] 我们第一件事情先getopt得到一个parsing state
[70:03] 再从那个parsing state出发去做下一步一样的设计
[70:11] 所以你们你们作为一个unsupervised learner
[70:13] 你们作为神经网络
[70:14] 大家神经网络你就是看好的东西
[70:17] 你看的多了
[70:18] 你自然就能泛化了
[70:19] 当然你看的多的时候
[70:20] 你要有意识去
[70:21] 意识去看好这个东西
[70:22] 为什么要这样
[70:24] 你回头突然有一天你会想通对
[70:26] 看到某一个blog的时候
[70:27] 或者有一天听我上课的时候
[70:29] 突然就想通了一件事
[70:30] 你就知道原来这个世界上做的
[70:33] 大家做的事情都是都是差不多的
[70:35] 就是在做在做这样的这样的事情
[70:39] 一份中介语言
[70:40] 两种执行方式
[70:41] 所以我就可以做构造一次
[70:43] 我的架构就是我做了这样的一个架构
[70:47] 这个架构是从LLM翻译成中间语言
[70:52] 这个用来验证这个用来交付好一个
[70:57] 就是一个这样的架构
[71:02] 啊这些AI给我生成的slop也不重要了
[71:05] 而且这个架构在这个架构上我还可以发展出
[71:09] 比如说优化什么是优化
[71:12] 我不是一个语言吗
[71:14] 我一个语言我如果觉得性能不好
[71:17] 哪个地方生成了太长的代码
[71:18] 我就有一些改写的规则
[71:21] 我可以把一个蛋
[71:22] 一个程序从一个形态改写成另一个形态
[71:25] 比如说你们都知道
[71:26] 如果我有一个变量在循环里面每次都计算
[71:29] 但它们的值都一样
[71:30] 我就可以把这个变量的计算提到循环的外面
[71:33] 编译器可以自动做这件事
[71:35] 语言模型
[71:36] 就你自己也可以手动把这个计算给移出去
[71:39] 你可以做手工的优化
[71:40] 而如果我有个中间语言
[71:42] 我就可以让大语言模型去优化它
[71:45] 然后你在这个计算机系统里面学到的
[71:48] 比如说profiling guided optimization
[71:50] 你可以先要去知道性能瓶颈在哪里
[71:52] 然后再用这个profile
[71:53] 性能的profile再去指导你代码应该写成样更好诶
[71:57] 你的概念又用上了
[71:58] 所以一个好的架构
[72:00] 可以承载这个需求的变化
[72:03] 未来Excel如果Excel的版本要Excel版本改了
[72:07] 没问题
[72:08] 我无非就是把一些算子
[72:11] 用另外一个方式去实现
[72:13] 偶然后讲了算子的时候
[72:15] 你发现今天这个AI inference也在干这个事
[72:19] 类似的是人类人类就是就是这样
[72:22] 你会当然他们因为他们有很多领域的知识
[72:24] 所以在他们领域里面有非常多好的啊设计
[72:27] 这些都是啊值得非常值得大家大家学习的好
[72:33] 那么终于到我们最后一个
[72:36] 十行的讲完了2000行的
[72:38] 讲完了50万行的架构应该应该怎么设计
[72:42] 当然我觉得架构就一就一件事
[72:45] 跳出问题看问题
[72:47] 因为当我们就当我们谈架构师的时候
[72:50] 你想到了什么
[72:51] 想到那些架构师都是在那框图数据库
[72:55] 微服务
[72:56] 流式数据处理应用框架
[72:58] 然后选这个应用框架
[72:59] 这几个应用框架搭起来
[73:00] 我就解决这个叫教务系统的问题了
[73:06] 在我们开始看架构之前
[73:08] 我们先来看一下
[73:10] 这个AI实现了一个什么样的架构
[73:15] 很好玩
[73:16] 这是我在它生成中间的时候看到的结果
[73:20] 所以我就当场我就发了一个小红书
[73:22] 说这个啊GPT-6说这个我不当人
[73:27] 我不做人了
[73:27] 就是这一看刚才那个汉诺塔
[73:29] 就是我在数学上我能我能想清楚
[73:32] 但数学上就是对的
[73:33] 那我那我不就是对的吗
[73:34] 这毫无
[73:37] 毫毫无破绽
[73:38] 然后然后他写的时候
[73:39] 他一个function
[73:41] 你看他叫function applications括号
[73:43] 然后啪啪啪啪啪啪啪
[73:45] 然后后来后来我发现GPT还很贴心的
[73:48] 用那个代码的这个格式化工具
[73:51] 帮我把它格式化完了
[73:52] 就你如果现在看这个
[73:59] 现在看
[74:02] 教务系统的 demo 的话
[74:05] 他还是一个monolithic
[74:07] 这还
[74:10] 一个54
[74:13] 一个83KB的TSX
[74:15] 一个38KB的这个这个services
[74:20] 还是很有水准的
[74:23] 就是他格式化了
[74:24] 格式化以后
[74:25] 你看起来这个这个东西就正常一些了
[74:27] 虽然我真的觉得他还蛮厉害的
[74:33] 就他真的很真真的真的真的真的蛮厉害的
[74:36] 这个东西能能能能做对我
[74:39] 我们也可以问他
[74:44] 啊这个教务系统使用了怎样的架构
[74:57] 我们让来让D老师来评价一下
[75:00] GPT生成的东西
[75:03] 然后当时我就我就惊了
[75:06] 惊了以后我就启动了一个独立的session
[75:08] 然后问那个就那个那个那个GPR在跑
[75:12] 问说这个软件能维护吗
[75:15] 害怕的问他说能能能
[75:17] 现在只不过是把这个业务逻辑
[75:19] 挤在几个大文件里
[75:20] 但是这个东西维护是完全没有没有问题的
[75:23] 所以我所以我越来越觉得这个这个好
[75:29] 他说你看经典三层单体前后端前后端分离
[75:36] 而且有几个生产级横切设计
[75:42] 乐观锁idempotent
[75:44] 这是我
[75:47] 我肯定会在某一次课的时候来讲讲这些
[75:50] 事务审计统一统统一错误
[75:52] 所以所以你看就是他觉得很有很有自信
[75:55] 他确实做了工程上
[75:56] 就是那个你们做不来做不来的
[75:59] 这个至少要摸爬滚打几年才理解的这个设设计
[76:02] 它有这个软件工程的直觉
[76:05] 然后你看它有数据驱动
[76:08] 横向扩展
[76:08] 扩展性很好
[76:10] 当然也有也有也有差差的一面
[76:14] OK啊挺好玩的
[76:18] 这个很有趣
[76:19] 就很快AI生成生产软件的方式就要超过
[76:22] 超过人类了
[76:24] 但是我觉得就是如果我跳出问题看问题
[76:28] 我觉得这还不是一个这个非常好的架构
[76:32] 因为本质上这是一个CRUD的架构
[76:37] 就是增删改查的架构
[76:39] 然后这样的一个架构
[76:41] 来自于一个什么样的
[76:45] 就是基本的原理
[76:47] 基本原理是
[76:49] 我们的软件是物理世界过程
[76:53] 在信息世界里面的投影
[76:55] 然后我们的物理世界是有状态的
[76:57] Everything is a state machine
[76:58] 我自己也是一个state machine
[77:00] 所以软件系统它很容易会建模成一个state
[77:05] Transition system
[77:06] 也就是说它有一个状态
[77:10] 然后这个状态一般来说是用数据库
[77:12] 就persistent的状态是用数据库
[77:13] 比如说我可以用一张表来表示学生
[77:18] 学生有学号
[77:19] 姓名
[77:20] 院系等
[77:21] 然后我还有一张表表示学院表示选课表示
[77:24] 反正各种各样的东西都可以用二维的表来表示
[77:28] 这是你们在数据库课上面学过的
[77:31] 然后数据库要求你消除这个表里面所有的冗余
[77:34] 要把这个数据库factor成normal form
[77:36] 什么意思
[77:37] 你最好不要学生里面有一个课程
[77:42] 比如说学生有一个学号
[77:44] 学号
[77:45] 学号是唯一的
[77:46] 比如说1234好
[77:47] 那学生学校学生有个姓名
[77:51] 那你在另外一张表里面
[77:53] 如果要引用一个学生
[77:54] 尽量不要用姓名来引用
[77:57] 因为姓名学生可能会重名
[77:59] 然后就算不重名
[78:00] 这个也会带来一些麻烦
[78:02] 你更好的是不要用姓名
[78:05] 就把这一列从这个表里面去掉
[78:07] 而是这里面放一个学生的id
[78:08] 比如说1234
[78:09] 这个id就相当于一个链接
[78:11] 这个链接指向了学生的这个信息
[78:13] 然后这个学生还可以再指向别的表
[78:15] 里面的某一些信息
[78:16] 这样把信息给最小原则就不会
[78:20] 其实是铲除冗余的dependency
[78:24] 我一个地方改了以后
[78:25] 我不会需要改另外一个地方
[78:26] 因为如果这个学生真的改名字了
[78:28] 不要笑这件事情在中国是合法的
[78:31] 你现在你在这个表上
[78:32] 如果你用这个方式来
[78:34] 如果用分解的方式来
[78:35] 那你学生改了名字
[78:36] 这个名字改掉就行了
[78:37] 你就记一个曾用名
[78:38] 但如果你是这样的两份就存了两份名字
[78:42] 那对不起
[78:43] 你要知道这两个地方都要都要修改
[78:47] 这就是一个很大的很大的代价
[78:51] 然后我们一般来说会把这样的世界建模成
[78:56] 这个状态
[78:58] 然后在任何时候这个状态就代表了
[79:00] 比如说在现在这个时间点上
[79:02] 南京大学有哪些学生
[79:04] 然后有哪些学生选了哪些课
[79:07] 有哪些老师等
[79:08] 然后每当我的信息系统就前后端分离
[79:11] 这也是一个非常经典的
[79:12] 刚才说的前后端分离的架构
[79:13] 那如果比如说今天我选择退学
[79:17] 我没有买到token
[79:18] 然后我选择退学
[79:20] 然后退学
[79:20] 那就是一个啊update的这个数据库的过程
[79:25] 然后他就从一个状态迁移到了下一个状态
[79:28] 然后这个状态那这里就状态
[79:30] 比如说我现在A现在还在
[79:32] 那在下一个状态里面
[79:33] A就没有了
[79:34] A这个记录就不存在了
[79:35] 那这就是一个始终是consistent的视图
[79:38] 你永远是你
[79:39] 永远我在教务系统里面打开那个网页
[79:41] 就看到这个东西的一个投影
[79:44] 它的投影这是非常经典的架构
[79:46] 没有任何的错误
[79:49] 但是但是但是但是如果我们
[79:56] 想教务系统为什么不适合
[80:01] 这样的一个CRUD的架构
[80:05] 就是因为当前的状态里面
[80:08] 就是当我看这个当前状态的时候
[80:11] 我看到的是一片祥和的景象
[80:13] 但是这个当前状态所有的历史它丢掉了
[80:18] 比如说如果我真的在某一个地方里面
[80:21] 学生的姓名存了两次
[80:23] 这是非常正常的
[80:26] 在在某一个表里面姓名学了两次
[80:28] 因为这可能是一个字符串
[80:31] 这可能是一个字符串
[80:33] 然后这个字符串就是什么加当时加学号
[80:37] 授予授予谁谁谁什么什么的
[80:39] 一个这个这个东西对他没有用关联的方式
[80:43] 而用一个字符串加他写到数据库里了
[80:45] 那这个时候数据库内部就发生了啊不一致了
[80:50] 所以所以比如说GP给了我一个例子
[80:53] 他说学生学生在学生字段里面
[81:01] 学在这个学生表里面
[81:03] 比如说学生那有student的id
[81:06] 然后比如说有一个有一个column
[81:09] 他就叫是否允许毕业
[81:15] 那比如说你们你们现在比如说学分
[81:18] 你再上我的课
[81:19] 应该学分还不够
[81:19] 所以应该都不允许毕业
[81:22] 然后有的有的同学这个学分修够了
[81:25] 他就允允允许毕业
[81:27] 而这个允许毕业的
[81:30] 这个一是有很多其他的状态算出来的
[81:33] 是因为之前之前有触发
[81:35] 比如说每当你修了一个学分
[81:39] 或者你的毕业设计状态改变等的时候
[81:42] 他都要重新计算一个
[81:43] 你的这个毕业是否毕业的逻辑
[81:46] 这样因为这个这个东西对信息系统来说很重要
[81:48] 这个教务员老师需要能够对
[81:51] 辅导员老师能够在教务系统里面导出
[81:53] 现在还到现在还毕不了业的学生
[81:55] 要找你一个一个谈话
[81:57] 他必须要在教务系统里才能
[81:59] 这是个很典型的需求点才能才能才能做到
[82:03] 但是这样的东西是历史上面的计算的
[82:08] Dependency
[82:08] 然后他们随着当前的状态都没有了
[82:11] 你知道这个学生可以毕业
[82:12] 但是你不知道他为什么可以毕业
[82:14] 你知道他这个不能毕业
[82:17] 你不知道他为什么不能毕业
[82:19] 这个计算的过程过程丢掉了
[82:21] 而计算的过程丢掉
[82:23] 这个软件又是现实世界物理过程的一个有损的
[82:28] 投影
[82:29] 那么最后导致的是物理世界里面我建模不了的
[82:36] 全部都需要通过其他的途径来解决
[82:40] 今天政策更新了
[82:43] 领导批准了
[82:44] 但是这个培养计划新的方案
[82:47] 新的数据还没有导入到教务系统
[82:50] 你们经常遇到这个问题
[82:51] 不一致
[82:52] 就物理事件已经发生了
[82:53] 这个培养计划已经已经通过了
[82:55] 学期已经开始了
[82:56] 我已经上课了
[82:57] 这个没有灯
[82:58] 就物理世界已经发生的事实
[83:00] 在系统里面没有建模
[83:02] 然后在系统里没有建模的时候
[83:04] 哎呀比如说这个教室还不能用
[83:06] 就第一周很典型的第一周
[83:08] 整个这个仙林这一片都还在修
[83:10] 教室不能用
[83:11] 然后不能用的时候
[83:12] 这个显然教务系统没有建模
[83:16] 这一点没有建模
[83:17] 这一点最后就靠他们手改重新安排教室
[83:21] 然后再把那个教室安排到另一个这个
[83:26] 我第一周就去另外一个教室教室上课了
[83:28] 然后这样慢慢慢慢随着时间的积累
[83:30] 你的系统里面会有大量不一致的数据
[83:33] 随着时间变成无法解释的黑洞
[83:36] 哎明明这个同学不该不能毕业的
[83:39] 他为什么毕业了
[83:42] 突然想起回想起来的时候
[83:43] 明明这个同学没有交学费
[83:45] 应该毕不了业的
[83:47] 为什么
[83:48] 为什么他能毕业
[83:49] 系统里面就无数无数
[83:51] 这样你想都不能想的不一致好
[83:56] 所以你们在面对这种需求的时候
[84:00] CRUD就会死
[84:01] 比如说南大没系了
[84:05] 当前环境异常
[84:09] 啊我知道他对LINUX很害怕
[84:11] LINUX的这个
[84:15] 南大没系了
[84:17] 最我们是最后一批系
[84:19] 然后现在成为了计算机学院
[84:26] 在南大院系发生调整的时候
[84:29] 这个教务系统就瑟瑟发抖了
[84:31] 因为还是还是这样的CRUD它是一个这个
[84:38] Point of truth
[84:39] 就所有的事实都在这
[84:40] 那好
[84:42] 那你我们的这个department变了
[84:46] 那我应该是把旧的这个department
[84:48] 就我这个世界里面实际上是一个对象
[84:50] 虽然是表
[84:51] 它还是对象
[84:52] 这个表就叫计算机
[84:55] 那我要把他的name从计算机系改成计算机学院吗
[85:01] 要妈
[85:04] 要也不对不要也不对
[85:07] 你想首先如果要这个
[85:11] 就你把这个这个object改了
[85:13] 计算机系现在确实是变成计算机学院了
[85:15] 但是这意味着我的毕业的记录
[85:20] 如果我select我到系统里面查询
[85:22] 我就变成了这个
[85:25] 2011年毕业于南京大学计算机学院
[85:29] 这个就属于我事实不符了
[85:30] 因为我在2011年的时候时候
[85:33] 这个
[85:34] 这个前面计算机学院它生成了一个对
[85:37] 系统里面给我生成打印什么证明的时候
[85:40] 给我生成了这个东西
[85:41] 好糟糕
[85:42] 然后那如果不变
[85:46] 也很麻烦
[85:47] 因为你的你现在所有的这个
[85:51] 这个department id都指向这个学生的
[85:53] 这个department id都指向计算机系
[85:55] 还是得把它改过来
[85:57] 你需要对它做一个数据库的迁移
[85:59] 你要创建一个新的新的对象
[86:01] 然后新的对象和旧的对象之间的这个关联关系
[86:05] 你还要把它考虑清楚
[86:08] 所以所以你看到
[86:11] 如果你假设这个世界就是这样的
[86:13] 这个投影不变了
[86:14] CRUD当然是一个完美的架构
[86:17] 但是只要你假设这个需求会发生摧毁性的变化
[86:22] 那么这个数据库你每次你就要这样想
[86:26] 你每次都会涉及一个数据库的迁移
[86:30] 业务逻辑的重写
[86:32] 你代码是可以重写
[86:33] 但是你的历史因为历史消失了吗
[86:36] 我们说这个因为这是一个data base的transaction
[86:40] 对他update完了以后
[86:41] 就从这个状态彻底的挪到了新的状态
[86:46] 你做一次数据库的迁移
[86:49] 你就要考虑历史上所有可能发生的情况
[86:51] 而且何况这个数据库里面
[86:53] 已经有很多的不一致了
[86:55] 你很难写出一个规则来迁移
[87:00] 你还要冒着数据库迁移完了以后
[87:03] 这个数据库就坏掉了
[87:05] 你就像我那个把选课给改成一一样
[87:08] 因为因为你在你的测试环境里面做一次迁移
[87:11] 和你把一个真的这个
[87:13] 学校里面所有的数据都做一次迁移
[87:15] 这个难度是完全不一样的
[87:18] 所以你们就理解了
[87:19] 为什么现在就或者说到今天之前
[87:23] 软件的设计实现ERP这类的系统
[87:25] 不管是教务系统
[87:27] 它的设计实现维护都是手艺活
[87:30] 就是我们就你看我调侃
[87:31] 这个教务系统做的做的做的不好
[87:35] 它确实就确实有做得好的这一面
[87:38] 但是就是说或者不好意思说错了
[87:41] 就他确实有做的不好的一面
[87:43] 但是你反过头来想
[87:45] 他作为一个软件工程的实践者
[87:48] 他可能在这公司在2000年的时候成立了
[87:51] 然后在2000年成立的时候
[87:52] 他做的唯一的选择就是为
[87:55] 就参参考一个已有的企业架构来做一个教务
[87:59] 教务系统
[88:00] 来抢占这个教育市场的第一桶金
[88:02] 然后他把这个东西做出来了
[88:04] 然后做出来以后
[88:04] 他就是一个CRUD的系统
[88:06] 那他一旦背上这个技术债
[88:09] 他就要在这个中国大学教育改革
[88:13] 这个几十年的时间里面
[88:14] 不断的扛下所有
[88:16] 所以这是一门这是一门手艺手手艺活
[88:19] 这里面还有一些有意思的有意思的故事
[88:21] 这个我读PHD的时候
[88:26] 我们的软工软件工程组
[88:29] 就我们我是软件所的
[88:30] 然后我们软隔壁的软件工程组
[88:33] 接了学校研究生院的教务系统的这个订单
[88:38] 那可能就二三十万吧
[88:39] 可能可能这是一个
[88:42] 在大家来看可能是一个比较大的订单
[88:44] 实际上在软件这种定制化软件里面
[88:46] 是比较小的订单
[88:47] 因为你要不停的维护这个事
[88:49] 维护这个屎山
[88:50] 但后来这个故事是这个屎山维护不下去了
[88:52] 我还记得我们当当时刚读PHD
[88:57] 那是我的室友
[88:58] 然后我就经常跟他抬杠
[89:00] 然后我就跟就说你就我会跟他聊这个
[89:03] 研究生院这个系统是怎么
[89:05] 那个时候对叫研究生院
[89:07] 研究生院的这个系统怎么设计
[89:09] 然后我就经常经常喷他
[89:11] 因为他是一个这个非常典型的CRUD架构
[89:14] 我说你最后会
[89:16] 会面临各种各样的问题
[89:19] 果然就在那几年
[89:21] 我们的研究生发生了巨大的扩招
[89:23] 然后很多管理
[89:24] 然后又多了很多研究生的类型
[89:27] 培养的类型
[89:29] 然后而且研究生又有这大家知道压力很大
[89:33] 然后经常会有这种调整
[89:35] 这都是他们在做需求设计的时候始料未及的
[89:38] 然后最后那个系统就彻底变成屎山
[89:40] 然后最后进入了就反正就不存在了
[89:43] 就现在统一变成公司维护的这个这个系统
[89:47] 他们还是有一些就是有一些领域知识
[89:49] 知道这些系统应该怎么把屎山给扶起来
[89:53] 但是但是如果我要重做一个教务系统的架构
[90:00] 我会怎么做
[90:03] 我就会看到这个single point of truth
[90:07] 太危险了
[90:09] 它一旦你有任何的不一致
[90:11] 你都不应不应不知道应该怎么样
[90:13] 把它把它拿出来
[90:18] 然后你就想到数据结构
[90:21] 课上讲过一种非常神奇的东西
[90:23] 叫persistent data structure
[90:25] 它可以得到这个数据结构
[90:27] 所有的历史
[90:28] 也就是你存一个数据结构
[90:30] 你存一个一棵树好
[90:35] 那这就是CRUD哎
[90:37] 你看数据库也是一个数据结构吗
[90:39] 所以你当前就是存一个库
[90:42] 然后你对它做一个操作
[90:44] 它就到下一个状态
[90:45] 这就是典经典的CRUD
[90:47] 但我还有另外一种
[90:50] 我可以一开始只有一个节点
[90:54] 然后有一个节点以后诶
[90:57] 我可以创建
[90:58] 就下一次它数不变了
[91:00] 那我就可以这个节点还在
[91:02] 我把这个节点放过来
[91:03] 然后如果我到有一天
[91:05] 比如说这个数变了他
[91:12] 比如说我的这个要在这个节点上上上
[91:15] 新建一个
[91:16] 那我就把它从到根的路径上面这个长出来一个
[91:20] 然后它的左子树可以指向它
[91:22] 它的左子树可以指向它
[91:23] 这个数无论多大
[91:25] 我其实都是可以存的下来的
[91:26] 然后当然我可以这是这个
[91:30] 我可以存
[91:32] 就是我可以存状态
[91:36] 也可以存操作
[91:39] 也可以存操作
[91:40] 对状态的德尔塔这三种视图是等价的
[91:47] 你
[91:49] 你看我存它的日志
[91:50] 就是一个 write-ahead 的 journal
[91:53] 你们在数据数据库操作系统课上都学过
[91:56] 然后你存这个他们的这个德尔塔
[92:01] 存
[92:02] 他们德尔塔就是git、SVN
[92:04] 这样的版本管理里面的思思想
[92:06] 然后你存这个状态
[92:10] 当前的状态就是CRUD
[92:12] 但是他们都可以帮你回放历史
[92:15] 得到当前的状态
[92:16] 所以如果你想要设计一个更好的架构
[92:25] 最好是先把干的所有的事情都先记下来
[92:29] 今天张三退学了
[92:30] 今天张三又复学了
[92:33] 你可以假假想
[92:35] 就比如说啊这个世界是
[92:37] 之前没有复学这个操作
[92:39] 没有复学这个操作
[92:43] 就是把张三从这个数据库里面抹掉好
[92:46] 抹掉了它就抹掉了
[92:49] 他可能有一些记录就删掉了
[92:51] 你要把这些这些和他
[92:53] 他和这个其他部分的关联重新给建起来
[92:56] 那你就要付很大的代价
[92:58] 你要加上复学这个这个操作
[93:00] 他又买到token了
[93:01] 然而如果你是用比如说记录所有的操作的方式
[93:07] 你就可以知道
