[00:00] 好今天我们来讲和生成式软件工程里面非常关系特别大的一个
[64:50] 然后这个一步推理就是AI最擅长的
[64:54] 因为我们训练了这个chain of thought
[64:55] chain of thought
[64:56] 每次都是根据过去所有的事实
[64:58] 你的paper也好
[65:00] 你的教科书内容也好
[65:01] 你已有的东西好
[65:03] 基于所有的这些向后让他往后推一步
[65:07] 这步是可以verify的
[65:08] 就推理最重要的就是它可以verify
[65:12] 这是一个明确的verifier的信号
[65:14] 和能够通过测试一样
[65:15] 虽然它不是严格的通过测试
[65:17] 而是一个你相信AI有人类的知识
[65:22] 它能够站在人类的知识平面上面往后推
[65:26] 然后
[65:28] 他会审视合理性
[65:30] 所以还是有一些合理性的
[65:33] 然后他批评我们的实验
[65:36] 就这种东西的实验就是很难做
[65:37] 所以看到人类和AI还是有点不一样的
[65:42] 就是这个paper已经accept了
[65:44] 所以人类的review还是认为它可以的
[65:47] 就是因为它看到这个事情——就是它做了一件新的合理的事情
[65:53] 然后当然实验本身——我总是可以用实验不够好来reject一个paper
[66:00] 但是我几乎不会用
[66:01] 因为实验不够好
[66:02] Reject paper
[66:03] 而我reject paper大部分是因为它们在这个逻辑上面断开了
[66:10] 就是如果我站在
[66:12] 当然在这个可能也是我作为一个审稿人比较可怕的地方
[66:15] 我就站在人类
[66:16] 因为当我审稿的时候
[66:18] 我就是站在人类的这个立场上
[66:20] 你有没有给人类提供新的知识
[66:22] 那么我站在人类立场上说
[66:24] 好好
[66:24] 它应该还可以帮我找这个related work
[66:27] 那好那如果你做的这个问题也不新
[66:31] 你做的ABC也不行
[66:33] 结果也就那样
[66:35] 甚至你的就是你的逻辑链条是有问题的
[66:38] 比如说我昨天才reject了一篇paper
[66:43] 这大概是这样的
[66:45] 他说我要做
[66:46] 我不能说它是什么
[66:48] 大概说我要做一件事情A然后我要做这件事情
[66:52] A里面分成两个部分
[66:54] A1和A2
[66:56] 好
[66:57] 他说我们要做一件事情
[66:58] A很重要
[66:59] 这没问题也很重要
[67:00] 然后分成A1和A2
[67:02] 然后A2呢是一个大家没有很好的研究的东西
[67:06] 然后那么我们在A2上面做了一个A2撇
[67:09] 然后这个A2撇有一些什么样
[67:11] 什么样什么样的
[67:11] 这是个非常标准的
[67:15] Road map
[67:16] 但是
[67:19] 它里面有一个很大的问题
[67:21] 它优化的是性能
[67:23] 然后优化性能的话，A1我估算
[67:28] 可能占99%
[67:29] A2占1%
[67:31] 也就是说他优化A2这个故事可能是成立的
[67:34] OK就是他确实优化了A2
[67:35] 它那个实验做的可能也是没有问题的
[67:38] 但是他对整件事情在这个意义上不成立
[67:41] 是因为——为什么你应该去优化A1
[67:44] 就是你优化A2的10%
[67:46] 这10%就像noise一样
[67:48] 当然你可能说
[67:51] 如果它的这个所有的东西都是成立的
[67:53] 他作为一个学生的作业
[67:54] 所以我觉得也是蛮可惜的
[67:55] 因为author肯定是学生
[67:58] author肯定是学生
[67:59] 然后学生——肯定是老师说要做——老师肯定是做这个的
[68:04] 你要这样理解
[68:05] 老师肯定是做A的
[68:07] 老板肯定是做A的
[68:08] 然后他可能被分到了A2
[68:10] 或者分到了就是自己去想做一个A2
[68:13] 然后这个A2做的也不是特别的
[68:15] 如果这个东西做的特别漂亮
[68:16] 我觉得也挺好的
[68:17] 他也是说他为了做A2
[68:19] 那为了做这个那额
[68:21] 那我就做XYZ
[68:23] 就从A1里面搬了一些
[68:24] 实际上大概是他从A1里面搬了一些XYZ到A2里
[68:28] 然后说A2这个效果也可以也可以变得好一点
[68:31] 然后呢那个question就是那OKGPT也知道这件事
[68:35] 那为什么为什么要发篇paper
[68:37] 就其实我的center question是
[68:40] 就这些东西都摆到台面上
[68:42] 那你为什么要为了这个写一篇paper
[68:46] 所以说现在我觉得是
[68:50] 发表和评审的体系很快就要学术界很快就要崩溃了
[68:54] 这个即将你们要读研的
[68:56] 同学我非常认为
[68:58] 这个发表的体系就马上就要就要崩溃了
[69:01] 因为
[69:05] 我们的AI slop开始大量的涌入这个community
[69:12] 然后如果我们用AI发文章写文章
[69:16] 用AI审文章
[69:17] AI写文章的时候
[69:18] 他就会被这个上下文里面的故事给污染
[69:20] 就如果如果他不能像我一样
[69:23] 很多轮的去理解这个工作在整个这个世界上的意义
[69:29] 那它就最后最后就是就是也没有人读文章了
[69:34] 人人都用AI读文章
[69:35] 然后最后就变成了一个完全的完全的slop
[69:40] 因为你看这是GPT-5.6给我写的
[69:44] 审稿就如果让他来审稿
[69:46] 他会他会怎么做
[69:47] 然后你会发现GPT-5.6做的并不好
[69:51] 他还是你看他还是一个非常原始的说
[69:55] 论文论文写什么
[69:59] 论文写的什么
[70:00] 然后然后我们要去建立它的claim是不是成立
[70:03] 就是他的逻辑
[70:04] 他更多验证的是这个论文的逻辑
[70:07] 有没有没有必上的
[70:09] 是不是不是不是应该in bi的paper
[70:10] 当然我会倾向于如果每个人都AI写的话
[70:12] 他应该不是invalid paper
[70:14] 每篇paper都是都是valid paper
[70:16] 但你真的要读它吗
[70:18] 就是
[70:19] 就真的要
[70:21] 尤其是你们作为同学
[70:23] 在你们很快就要进入研究生阶段去读论文的时候
[70:26] 当有一天有一个人发表了一篇什么样的文章
[70:30] 在EC上
[70:31] 然后你会说哦这是一个顶会的论文
[70:33] triple AI上面这是一个顶会的论文
[70:35] 那你今天决定花一个小时去读一下
[70:38] 然后你读完以后发现是一个这样的东西的时候
[70:40] 你是
[70:42] 就是就是其实其实他不需要
[70:44] 就是你可能不要去投top top conference
[70:47] 你需要publish的话
[70:49] 你可以你可以让他publish
[70:50] 但是可能不要让大家去读它比较好
[70:54] 然后这就引申出了可能比如说我是怎么学习的
[71:00] 就是这节课虽然是讲PROMAINING
[71:03] 通过这个例子可以告诉大家我们是怎么学习的
[71:08] 我们学习的过程就是增加这个我的这个世界的过程
[71:16] 所以我现在还读配文
[71:18] 所以我还在学习不断增加
[71:20] 然后我学习的方法就是去对齐过去的我
[71:25] 对齐过去的我
[71:27] 然后对齐过去的
[71:27] 我说如果我读到一篇好的paper1篇
[71:31] 哪怕是可能几十年以前的
[71:33] 甚至是另外领域的一个一一个
[71:36] 不管是博客文章
[71:38] 任何任何东西也好
[71:39] 我觉得很有启发
[71:40] 我会试图去想
[71:41] 为什么我以前诶不知道就他的盲区在哪里
[71:45] 哪些前置知识我不知道
[71:47] 那首先在我的这个心里面就多了一些
[71:51] 我已经知道的一些fact
[71:53] 这个世界上有一种有个学科叫什么
[71:56] 我读过很多
[71:57] 看跟凯美尔赛是没有没有关系的
[72:00] paper我很喜欢
[72:02] 就是我做了factory以后
[72:03] 我才我才读的
[72:04] 有一套很厚的那个叫自然科
[72:08] 自然的那个百年科学经典
[72:10] 大概是把nature那个magazine从171890年开始
[72:14] 到到某一个时代的这个paper都就特别好的paper都收集了
[72:19] 然后就看了很多
[72:20] 这个闻所未闻的
[72:22] 就是有些事情你们可能知道
[72:23] 比如说有一个基因
[72:26] 就大家生物有一个这个家谱数
[72:29] 然后最终会追到一个这个共同的祖先LUCA
[72:33] 然后这个加谱数是怎么算出来的
[72:36] 这是个很好很好的问题
[72:37] 然而然然后这里面就涉及到你需要知道一些一些fact
[72:41] 比如说这个家谱数
[72:43] 你的你的线粒线粒体是母系单遗传的
[72:46] 所以他靠这个突变就可以往上追溯
[72:50] 这是一个很有意思的fact
[72:51] 然而这个fact有它又是怎么样用一些已知的这些东西
[72:56] 把更多的东西推出来
[72:57] 然后你的这个圈就不断的在你的这些圈就不断的在往外往外长
[73:02] 无论你学任何东西都是啊都是都是这样的
[73:06] 然后你在AI的帮助下就可以
[73:09] 非常快的去扩展你的你的边界对
[73:14] 所以所以一定程度上你们还是需要自己
[73:17] 就我给你们讲是没有用的
[73:18] 讲你们就听个故事
[73:19] 哎这故事挺fancy的
[73:20] 结束了
[73:22] 实践非常的重要
[73:23] 因为你们只有在在阅读的时候失败
[73:26] 你今天今天你去读一个什么资料的时候
[73:29] AI解释了半天
[73:30] 你还没有懂
[73:32] 这是非常这是非常正常非常正常正常
[73:35] 有的时候也是在我AI要我
[73:36] 我经常纠正他
[73:37] 你这样读说人话
[73:39] 我经常会说人话
[73:42] 要慢慢慢慢才能一起在多轮对话里面
[73:45] 先和他同步好我的共识
[73:48] 然后再去把这个推理的picture给建建建出来对
[73:54] 所以你看到我们从这个遵循指令
[73:57] 一个写一个藏头诗这样的一个短程的任务
[74:01] 你只要把WIREFIRE写清楚
[74:04] 就完成了
[74:05] 然后到这个verifierRE其实可以是非常非常不tribute的
[74:10] 这是有没有按照你的思维的方式去重构你逻辑的这个
[74:17] 或者扩展你逻辑思维的边界
[74:20] 这是我的玩法
[74:21] 或者说我学习东西的玩法
[74:24] 在一个混沌状态下面经历了若干次三观尽毁
[74:28] 我觉得就每个同学可能都会都会在这个年纪的时候
[74:32] 你们这现在就是你们的世界观可以重塑的时候
[74:36] 然后再在看了某一本书以后
[74:38] 你就突然间就觉得三观尽毁
[74:41] 就过去
[74:41] 所有的东西你都就重新组织了
[74:45] 就你以前知道的所有的fact都会都不会变的
[74:47] 但是他们以一个重新的方式链接起来
[74:50] 然后你下一次的时候就会带上这个啊这个新的理解
[74:54] 所以我觉得这是一个很有意思的啊事情
[74:56] 你们有你们有无限的时间
[74:58] 你们有无限的啊可能性
[75:01] 可以把自己蒸馏成一个skill
[75:04] 我说我说我失败很重要
[75:05] 然后从从你失败的过程当中
[75:08] 可以蒸馏出那个慢慢慢慢越来越成功的
[75:11] Skill
[75:12] 这个就是这个就是我自己啊蒸馏出来的
[75:17] 关于我自己的skill
[75:19] 对好
[75:21] 这是用好大模型
[75:23] 遵循指令的能力
[75:28] 好那么现在已经知道遵循指令了
[75:33] 我们就可以看怎么样去
[75:38] 怎么样去处理
[75:40] 真正这种long horizon的认为
[75:42] 就是说像什么计算机系统基础的pa作业
[75:47] 可能这种有明确verifier的都不能算是这种真正long horizon的东西
[75:52] long horizon多多少少就是带一点未知
[75:56] 你从一个你从一个初始的状态出发
[75:59] 你大概可能有一个intent
[76:01] 但是你的specification和你的implementation其实都不太清楚的时候
[76:06] 你最终的目标是交付一个高质量的implementation
[76:09] 那你就不应该让AI去画一下子
[76:15] 一下子向向后坐坐
[76:18] 这个因为我们的模型它的self attention
[76:24] 它的反馈信号是强化学习给的
[76:26] 所以他有一种着急的执念
[76:28] 是赶快通过verifier满足你的要求就结束
[76:33] 他其实有一个平衡
[76:34] 因为如果他做的planning太多太长
[76:37] 他会做不完
[76:38] 上下文满了
[76:39] 人人会不满意
[76:41] 所以在目前阶段
[76:42] 它最好还是一个就帮我把PA2做了
[76:46] 这是它最擅长的
[76:50] 事情好
[76:51] 你也是
[76:54] 你也是非常开心的
[76:55] 所以这就导致了一个什么
[76:58] 很有意思的观察
[76:59] 你们会——就像我刚才在codex里面跑一把——
[77:05] 从零开始做产品看起来是不难的
[77:07] 就你做一个小的proof of concept AI马上就能给你一个
[77:11] 你说做一个不管是个人主页还是一个产品
[77:15] 就是你们应该都试过吧
[77:16] 就做一个极品飞车
[77:17] 就这么说
[77:18] 刚才那个极品飞车one shot说给我一个极品飞车
[77:22] 然后我就能跑
[77:23] 我就真的能跑了
[77:24] 但是在你要把它往后维护的时候
[77:27] 加一个功能
[77:28] 加一个功能
[77:28] 加一个功能的时候
[77:29] 你会观察到AI从某个时间点开始翻车
[77:33] 就随着某个时间点开始
[77:35] 它的cost就会越来越大
[77:37] 越来越大越来越大
[77:38] 这个在软件工程里面已经是无数次了
[77:42] 《人月神话》里面讲的就是这件事情
[77:45] 但是里面有个悖论
[77:48] 反而你在一个大型的复杂软件系统里面
[77:51] 这个AI就像砍瓜切菜
[77:53] 就我觉得我们hack这种比较大的系统
[77:55] 像Linux内核这种
[77:57] 现在的内核已经不比我那个时候的内核了
[78:00] 我觉得我以前上操作系统课
[78:03] 我都会说我很幸运
[78:04] 我在零几年的时候
[78:07] Linux还2.6的时代
[78:09] 甚至是2.6.2几的时代接触了Linux内核
[78:12] 那个时候源代码我还看得懂
[78:14] 今天如果你打开一个Linux内核源代码
[78:17] 立马就是劝退
[78:19] 为什么我想要看这样一个函数
[78:22] 比如说你要学文件了
[78:23] 你想看文件是怎么打开的
[78:25] 然后第一个就是一个函数调用
[78:26] 点进去又是一个函数调用
[78:28] 点进去又是一个函数调用
[78:29] 然后点点点点点点点了十层
[78:31] 最后是一个x等于y
[78:33] 你马上就崩溃了
[78:34] 因为
[78:36] 这个大型的软件系统被经过了长时间的演化
[78:40] 它被迫为了能够维护下去
[78:43] 它变成了现在这个样子
[78:44] 结果恰好导致的是在大型复杂的软件系统里面
[78:48] AI游刃有余
[78:50] 为什么
[78:51] 跟刚才我们说这个上下文污染正好是反过来的
[78:56] 我们说一个论文放进去以后
[78:58] 这个它就把上下文整个扭过去了
[79:01] 就整个就扭过去了
[79:02] 而如果是一个由人类维护的特别高质量的代码
[79:07] 这个上下文会迅速地看到里面那些好的东西
[79:11] 他会照着写
[79:12] 他会照着学
[79:13] 它的注意力也能注意到
[79:15] 比如说如果我要写一个功能
[79:17] 这个功能很有可能在内核里面已经有几个地方实现过类似的了
[79:22] 他无敌的注意力机制
[79:24] 能够马上就找到那几个地方是怎么实现的
[79:26] 它应该调哪个helper
[79:28] 按照什么样的顺序上锁
[79:30] 这些对人类来说都是巨大的心智负担
[79:32] 尤其是你在不了解那个subsystem的时候
[79:35] 那个该上什么锁
[79:36] 你根本就不知道
[79:37] 但是self-attention可以在加载了几十个文件以后
[79:41] 那不就是这三个都是这样写的
[79:44] 我就把这三个加起来就可以了
[79:46] 所以越强的——像我们Linux内核——
[79:48] 那我们前面在hack这个Android Runtime的时候
[79:51] 改那个just-in-time的编译器
[79:52] 这个是一个非常非常痛苦的事情
[79:55] 在我手上为了改编译器"死掉"的同学
[79:59] 就是最终决定不再做这个方向的同学都不在少数
[80:02] 唉，这实在是太恐怖了
[80:05] 这个——放弃了——
[80:07] 不愿意再写代码了
[80:08] 但AI就特别擅长：让它做一个小游戏
[80:11] 就会翻车
[80:13] 非常非常有意思
[80:14] 你可以看到这就是——我记得我今天讲prompt engineering、上下文工程——
[80:18] 这都是上下文和今天的模型结构带来的
[80:22] 它是有一个逻辑的推理的关系的
[80:25] 然后随着新一代模型的发布
[80:29] 我今天上课所有东西可能都又没有用了
[80:31] 然后我们再去想新的模型
[80:33] 它是怎么训练的
[80:34] 它的personality是什么
[80:37] 我们应该怎么样更好的和他相处
[80:39] 但是基本上我觉得这点不会变
[80:41] 就是它不会倒开倒车
[80:42] 在大型
[80:43] 在无论是什么模型
[80:45] 在大型复杂的维护的好的软件系统里面
[80:47] 他永远可以看到他该看到的东西
[80:49] 并且做对
[80:50] 因为我们的模型永远是可以遵循指令的
[80:54] 听指令是不可能倒开倒车的
[80:57] 所以这点它还是可以很好的
[81:00] 很好，相信它
[81:01] 相信他的
[81:01] 所以我觉得我有个歪招
[81:05] 但我没有实验过
[81:07] 我觉得这可能是一个比较好的research
[81:11] 我们有没有可能去收集一个人类经验
[81:14] 比如说人类历史上面的
[81:16] 比如说最好的20个项目
[81:18] 或者在每一个领域
[81:21] 找到最好的十个或者20个项目
[81:24] 然后把它的经验——就是好的设计经验——全部都提取出来。哎，
[81:28] 你就想那不就是我第一节课拿的那个
[81:30] 《The Philosophy of Software Design》吗
[81:32] 就那里面就是这就是人提炼出来的
[81:35] 你这个类结构应该怎么写
[81:37] 什么时候应该封装
[81:39] 什么时候应该把它这个做成继承关系
[81:41] 就都是这种碎碎念的
[81:43] 这些——他说——这个系统里面这样写的
[81:46] 所以它符合这个需求是好的
[81:49] 然后如果我们能把这些切片切出来
[81:52] 甚至是你直接啊就以污染上下文的形式
[81:57] 你先把一个和你相近的好的代码放进来
[82:02] 然后你再把你的需求放进来
[82:06] 然后因为你就赌
[82:08] 这个self-attention还是可以——终于在某一个token的时候能够看到——你
[82:12] 我实际上是满足这个需求
[82:13] 而不是做这个
[82:14] 虽然它会污染上下文
[82:16] 但是它会把你的这个东西——把好的经验——给带过来
[82:22] 那这样是不是可能可以让AI slop延缓一点
[82:27] 能够更大概率做出一个可以长期维护的东西
[82:30] 我不知道
[82:30] 但是也许需要一些比较好的微调
[82:35] 比如说这个项目不要把所有代码都放进去
[82:38] 而是我们能不能把它做一个像《The Philosophy of Software Design》那样
[82:43] 做一个精简
[82:46] 做一个总结
[82:47] 把里面好的模式提取出来
[82:48] 以文档的形式放进来等
[82:51] 但这也其实没有那么容易
[82:54] 因为不同的设计是会打架的
[82:59] 你的软件我的软件可以设计成是一个完全松耦合的方式来发消息
[83:03] 但我也可以设计成另外的一种
[83:08] 比如说就是有一个统一的gateway
[83:10] 然后我把所有的函数的全部都统一在里面
[83:15] 然后查表。就这两种事
[83:17] 是不能同时有的
[83:21] 他只能选一个
[83:22] 那也许我们要有一个更好的方法
[83:25] 比如说把好几个软件的设计都放进来
[83:28] 然后由AI多轮的迭代收敛到一个好的结构
[83:32] 放到我们的代码库里
[83:34] 这样
[83:34] 但我觉得这就是一个可能还不错的方向
[83:37] 而且这个是新的
[83:40] 比刚才我们看的那种说
[83:42] 我有A问题
[83:43] 然后分成A1和A2
[83:44] 然后A2里面做一个什么什么什么排列组合的东西
[83:47] 看起来要有趣一些
[83:49] 对啊好
[83:52] 所以核心的观点就是这节课的观点
[83:57] 我们今天还没有这种超能力的AI
[84:00] 你还是需要有概念
[84:02] 知道上下文里面有什么
[84:05] 上下文里面的每一个东西都会对AI产生什么样的结果
[84:09] 那这唯一的途径就是第一你要对你玩的东西有概念
[84:15] 你还是得学处理器
[84:17] 操作系统
[84:18] 编译器数据库
[84:19] 这里有很多设计的智慧
[84:20] 只是你学的方法会变好
[84:22] 你会用更高效的方法来学
[84:25] 然后你理解了上下文以后
[84:28] 我们会用一个学期来解释
[84:30] 怎么样用软件工程里面的各种各样的方法去给出一个正确的指令
[84:35] 去监控AI运行
[84:37] 怎么样给AI好的
[84:39] 什么叫好的verify
[84:40] 今天我只是提到
[84:41] OK，你要在上下文里面放进verifier
[84:44] 那什么是好的verifier
[84:45] 你们可以自己
[84:46] 你们自己有自己的想法
[84:47] 我今天有一些比较松散的想法
[84:51] 今天我们还是需要把模型引导到你认为合适的位置上
[84:54] 但是这已经比我组一个工程团队
[84:58] 我要雇很多的人
[84:59] 然后我要和他们拉通对齐
[85:01] 这种互联网黑话
[85:03] 那个呵
[85:05] 你不需要模型
[85:07] 很聪明
[85:07] 它见过很多。你只需要用正确的提示词
[85:10] 简练的提示词放在这个上下文里面
[85:13] 让这个提示词一直能被看到
[85:15] 能把模型往那个方向引导
[85:19] 就可以
[85:20] 然后我这儿有一个很好玩的故事
[85:23] 就是一个没有超能力AI的非常典型的案例
[85:29] 我们要做一个研究项目
[85:32] 研究项目
[85:33] 然后这个研究项目大概是做一个符号执行引擎的优化
[85:36] 你不需要知道这是什么
[85:37] 大概他就说我要写一个程序
[85:39] 可以分析一个程序自动分析
[85:40] 或者证明一个验证一个不算很大的程序的正啊正确性
[85:44] 这也是一种一种玩法
[85:46] 然后我们现现在这个东西提的
[85:48] 执行效率比较低
[85:49] 所以我们希望提出一些比较有效的优化
[85:51] 当然这也是一个非常合理的incremental的
[85:53] 适合学生做的
[85:55] 做的题目
[85:55] 然后为一个原始的idea
[85:57] 大概是我们我们用这样的方式可能可以有效
[86:00] 然后但有些东西是open的
[86:02] 比如说这个东西到底怎么做
[86:03] 什么东西有效
[86:04] 那可以写一个
[86:06] 写一个research
[86:06] 然后这位同学很开心诶
[86:09] 有道理
[86:10] 他认为这个idea有道理
[86:12] 然后GPT-5.6SALA也认为这个idea有道理
[86:15] 那确实就看起来确实这个
[86:17] 然后好这个
[86:19] 然后他就开始跑
[86:20] 然后就跑了非常多的token
[86:21] 然后按照那个同学的说法
[86:24] 是ChatGPT不断的在给我反馈
[86:27] 我无法验证他给我的反馈是正确还是不正确
[86:31] 当他给我negative的时候
[86:33] 他的negative对
[86:36] 我也不知道应该怎么样怎样打破
[86:38] 然后好这个原汤化原食
[86:42] 这个就是GPT-5.6生成的
[86:44] 然后他的
[86:49] 他的错误犯在这句话上
[86:51] 就是就是因为它就是在上下文里面有一个地方没有做好
[86:55] 就把整个方向
[86:57] 就我刚才说
[86:59] 我们需要把模型引导到你认为合适的位置上
[87:01] 然后这个引导错了
[87:03] 它因为模型成了一个reward hacker
[87:07] 这里有一个需求说我要我要就是这个同学说
[87:11] 我想证明这个A方法是有用的
[87:19] ChatGPT看到了这句话
[87:21] 他就忘记了
[87:22] 我们有一个更大的研究的big picture
[87:25] 我就是我
[87:27] 我作为审稿人的时候
[87:29] 我是站在人类的角度上立场上去评审这篇论文的
[87:34] 然后我们站在这个构建者的立场上
[87:37] 我们是没有办法这样反过来的
[87:38] 反过来
[87:39] 所以我们只能从从一点一点从小的开始做
[87:42] 证明这个方法有用
[87:43] 然后他走他做错了这一步
[87:46] 他太想要去证明这个idea有用了
[87:50] 是因为有这样的一句prompt
[87:52] 然后他就构造了很多小的benchmark
[87:54] 然后在小的benchmark上做一些微小的东西
[87:58] 试图去给一些正面或者负面的结论
[88:01] 但这些结论对这个是没有用的
[88:04] 然后他这里面是犯了一个方法上的错误
[88:07] 当然我们纠正了
[88:08] 就说我告诉你PH14
[88:10] 等于说我们我们应该从一些真实的工具和state of art的算法开始
[88:16] 这个benchmark
[88:17] 哪怕要跑几个小时都time out
[88:19] 这个time out里面产生的这个搜索路径对我们来说是非常有价值的
[88:24] 它揭示了什么样的程序结构
[88:26] 对于现有的探索方法是不好的
[88:30] 然后这个这个这个这个还挺好玩的
[88:33] 一个一个research failure
[88:35] 所以他告诉你
[88:38] 今天人还是有用的
[88:39] 今天人还是有用的
[88:40] OK这个我们没有办法把所有的所有的事情都带了给这个AAI
[88:49] 但是与此同时
[88:52] 我们工作的方式可能也要发生发生变化
[88:55] 就是第一这些知识很重要
[88:58] 什么操作系统和编译器
[89:00] 如果你没有概念
[89:02] 你提不出那个正确的问题
[89:03] 找不到引导的正确的方向
[89:05] 你对人类的知识没有概念
[89:07] 你也很难去引导他解决一个open的question
[89:13] 但我也发现有些就在和AI合作的时候发生了变化
[89:17] 一般来说我发现
[89:20] 如果我盯着那个codex的session
[89:22] 然后它一旦跑偏
[89:24] 我就立即纠正它
[89:26] 我可以更快地完成任务
[89:28] 就如果是一个比如说就实现一个什么东西
[89:30] 比如说我今天就要上交互系统干个什么事
[89:32] 他如果我纠正他给他
[89:34] 只把我的领域知识注入进去
[89:37] 可能可能总时间会完成的更快
[89:39] 但是如果我浪费更多的token给他更多时间
[89:43] 他一般来说也能完成
[89:46] 这时候就有一个trade off
[89:48] 我到底是我花我的钱
[89:50] 就是你的人力是有
[89:51] 就你们每一个同学的精力都是有限有限的
[89:55] 每个同学都应该去思考
[89:57] 你要把你宝贵的那些经历放到怎么处理AI上
[90:04] 因为因为因为是这样
[90:06] 我自己发现这是我自己的问题
[90:08] 纠正AI是一个有多巴胺的事情
[90:13] 他给我一种什么感觉
[90:15] 虽然AI很强
[90:16] 我好像还是比AI有点用的
[90:18] 就他会产生这种非常微妙的心理安慰
[90:21] 而不是这个我就一个yo mod
[90:24] 然后就等我回来的
[90:26] 我也不用我也不会看历史
[90:28] 我他反正搞定了
[90:29] 我验收一下
[90:30] 他真的搞定了
[90:30] 我就我就不会看了
[90:32] 但这个可能很在非常长的时间里面都会成为同学们工作的一个常态
[90:39] 这个你们只只有把AI用在
[90:42] 就是把自己的时间留在这些收益最大的事情上
[90:45] 这个时间是不能生的
[90:47] 就你有一个东西
[90:49] 不知道这些东西
[90:51] 不知道你想要把它弄
[90:54] 知道这是你几乎百分之百的时间都要作为学生要做的做的事情
[90:58] 剩下比如说这件事情你知道应该怎么干了
[91:01] 把它干好
[91:03] AI能把它干好
[91:04] 你就放手
[91:05] 让他让他干
[91:06] 这样就有一种是好像在PREAI的时代
[91:09] 大家就已经说了
[91:10] 说不说要不要假努力
[91:13] 你自我自己感动自己的努力是没有用的
[91:15] 你要你要有效的努力
[91:17] 在AI时代可能这个效果会差距拉的更大
[91:21] 就是你的每一秒钟的假努力
[91:23] 如果有一个你的peer是在真努力
[91:25] 你都是损失非常非常非常非常大的对
[91:29] 这是一个啊这是一个自己的一个小小心得吧
[91:32] 对然后以及最后你们也会发现在随着指指指令上下文的增长
[91:38] 指令遵循的能力确实会啊会下降的
[91:41] 但是现在模型有个很有意思的特点
[91:43] 一般来讲最后的prompt就留在最后的那个指令还是可以遵循的
[91:49] 到前面之后
[91:50] 尤其是到中间的时候
[91:50] 他上下文指令不遵循
[91:52] 所以干活还是很好用的
[91:55] 因为一般最后一个短窗口就是一个具体的任务
[91:59] 是你的prompt帮我把什么东西修了诶
[92:02] 他就真的还是可以把这个事情给做完
[92:05] 所以模型还是啊非常值得
[92:08] 值得使用的好
[92:11] 那就啊到最后
[92:16] 如果你真正想要做一个真正long horizon的非常非常难的任务
[92:24] 他不是解决一个问题
[92:27] 而是在一个不确定性当中探索
[92:31] 那么chain of thought其实就是解决不了的了
[92:35] chain of thought能够解决的是一个有VER法
[92:37] 它确定的一直往后就能解决的问题
[92:40] 但是如果你让他去解决一个
[92:44] 帮我考虑一下几种方案
[92:45] 哪哪个方案最好
[92:47] 他很有可能会给你一个不是最好的啊方案
[92:51] 为什么
[92:52] 实验模型已经被训练成舔狗了
[92:54] 他完成任务才有奖励
[92:57] 他完成他不完成任务
[92:58] 他是没有奖励的
[93:01] 所以他会给你一个有限的方案
[93:03] 就像P和NP就是你大家都知道P和P它有这个两个complexity class
[93:09] 甚至有更大的这个complexity class
[93:11] 有一整个家族
[93:12] 还有rocky
[93:14] NP问题说你想要验证一个解是比较容易的
[93:20] 是P的
[93:21] 但是你想要这个找到那个满足条件的解是很难的
[93:26] 要找一个哈密顿路径，
[93:29] 你给你个路径是不是哈密顿
[93:30] 你很容易
[93:31] 但是你想要找到一个满足条件的解
[93:35] 就是NP-complete
[93:36] 它是一个完全问题
[93:37] 3-SAT这样的
[93:39] 这样这样的问题
[93:40] 而就是因为这个搜索是困难的
[93:45] 这个验证是容易的。模型
[93:47] 为了完成任务
[93:48] 它势必只能做有限的搜索
[93:52] 这样想一想
[93:52] 这样想一想
[93:53] 有一种是你在考试场上花点时间
[93:57] 一定要把这个考试题写完
[93:59] 无论如何
[94:00] 马上要交卷了
[94:01] 你写你的分数就比不写要高
[94:03] 所以你一定要写点什么
[94:06] 这个时候啊你就可以用一个算力换智力的循环
[94:14] 我举我举个例子
[94:15] 我举个例子
[94:22] 你们这一代人是子涵吗
[94:28] 就你们有很多同学是子涵吗
[94:30] 没有，你们还没有
[94:33] 你们可能——比你们再小五岁的那个班上——
[94:36] 一个班上就有五个甚至十个子涵
[94:39] 然后现在子涵就少了
[94:40] 现在子涵少多了
[94:42] 然后你看AI给我的这个，还是很好的
[94:49] 你看它知道要去《诗经》里面找一个
[94:57] 还是
[95:01] 还是可以的
[95:02] 就是他的品味肯定现在模型提升了
[95:05] 但是你还是不敢用的
[95:06] 为什么
[95:07] 因为你用DeepSeek起名字
[95:10] 别人也用DeepSeek起名字
[95:12] 然后你就会成为一个AI时代的子涵
[95:16] 这个因为大家都是用DeepSeek起名字
[95:18] 然后DeepSeek都是起了同样的名字
[95:21] 我的经验是
[95:23] 如果你真的需要一个非常long horizon的任务
[95:26] 你就需要一个系统性的调研过程
[95:29] 跟你们可能做
[95:30] 比如说上什么科研实践课
[95:32] 学的那一套就很像了
[95:34] 你们进入一个科研领域
[95:36] 第一件事情做什么
[95:37] 文献调研
[95:39] 穷尽搜集和这个问题相关的所有的文献
[95:43] 这件事情在AI想要快速完成任务的时候
[95:47] AI暂时还不会去花这个大代价
[95:50] 但是你可以做名字是可以枚举的
[95:54] 你可以先选音
[95:57] 然后把不好的音给筛掉
