[00:00] 我干了什么呢?这是我的Neovim,对吧?
[58:28] 沒關係
[58:29] 他會
[58:30] 這就是Agent
[58:31] 你看到他的過程
[58:36] 你看
[58:37] 他會不斷的反思
[58:40] 他做的這件事情合不合理
[58:42] 然後他能夠找到
[58:44] 應該怎麼辦
[58:46] 對吧
[58:47] 看起來翻車
[58:48] 他剛開始在嘗試
[58:50] 然後剛開始在嘗試以後
[58:52] 他找到正確的方式
[58:54] 所以說Chrome DevTools是一個非常強大的工具
[58:58] 他最終發現
[58:59] 他用那些
[59:00] 比如說直接注入一個事件的方式不行的
[59:02] 但是點數標是可以的
[59:04] 然後這意味著什麼
[59:06] 你看他已經開始可以填寫AI Slot
[59:09] 我完全可以
[59:10] 不需要直手
[59:12] 對吧
[59:13] 讓他隨便給我填寫什麼
[59:17] AI Slot
[59:18] anyway doesn't matter
[59:21] 能力真正的邊界在哪裡
[59:25] 當他走通過一次以後
[59:28] 這個session裡面的東西會留下來
[59:31] 我可以把它沉澱成確定性的腳本
[59:35] 對吧
[59:36] 他可以形成記憶
[59:37] 就是說這條路徑應該怎麼走
[59:39] 什麼能成功什麼能失敗
[59:41] 他也可以把走過的這些網頁成功變成腳本
[59:44] 你就得到了一個自動選課搶課的系統
[59:47] 所以
[59:48] 所以這是多麼恐怖的一件事
[59:50] 你不需要有任何的
[59:52] 不需要有任何的知識
[59:54] 對吧
[59:55] 他就在這裡幫我填寫AI Slot
[59:57] 如果我要對付對吧
[59:58] 對付這個本科生願
[60:00] 一定要我填的話
[60:01] 我就用這個方式來處理
[60:05] OK
[60:07] 對吧
[60:08] 而
[60:10] 這其實是一整個生態
[60:12] 他不是就是說
[60:13] 你們會覺得OK好
[60:14] 這是又是一個很Fancy的案例
[60:16] 對吧
[60:17] 我今天講了好多
[60:18] 我可以這樣用這樣用這樣
[60:20] 每一個都很厲害
[60:21] 而
[60:23] 因為我是教操系統的
[60:25] 操系統上面的
[60:26] 應用程序
[60:27] Unix的Philosophy
[60:28] 他能成立的原因
[60:29] 就是那個管道
[60:31] 能實現所有程序的自由組合和無限複用
[60:36] 1加1是可以大於2的
[60:39] 而剛才我說的所有的東西
[60:40] 比如說
[60:41] 從一個
[60:42] 瀏覽
[60:43] 就一個上下文裡面
[60:45] 提取
[60:47] 這個記憶和腳本的能 Skill
[60:51] 和我剛才那個
[60:53] 瀏覽器的 Skill
[60:55] 和
[60:56] 我
[60:57] 比如說我又有一個
[60:59] 什麼
[61:00] 在網頁上面怎麼瀏覽的一個 Skill
[61:03] 他們是可以加在一起
[61:04] 互相調用的
[61:06] 所以
[61:07] 現在這個AI Agent的
[61:09] 這個
[61:10] 生態其實已經
[61:12] 達到了一個臨界點
[61:14] 馬上
[61:15] 你就會看到
[61:16] 這些東西的互相組合
[61:19] 可以成
[61:20] 百倍成千倍的放大個人的能力
[61:23] 真正對於一個一般人來說
[61:26] 他可以做的
[61:28] 他可以去找到世界上各種各樣的信息源
[61:31] 我不知道你們有沒有訂閱那個什麼
[61:34] 局壓的AI早報
[61:36] 每天早上起來
[61:37] 這個刷牙的時候就聽一下
[61:39] 反正他也是AI生存的
[61:41] 但他是有RSS的
[61:43] 他是有這個推送源的
[61:45] 然後你有這個B站的推送
[61:47] 你有Archive的推送
[61:49] 你有Hacker News的推送
[61:51] 然後這些東西我都可以
[61:53] 做一次
[61:54] 沉澱成Skill
[61:56] 或者沉澱成腳本
[61:58] 然後他就會進入
[61:59] 我就可以做一個這樣的
[62:01] 信息處理的系統
[62:02] 我有大量的這個信息源
[62:05] 然後這個信息源
[62:07] 會進入一個處理系統
[62:09] 然後這個處理系統最終會產生有用的知識
[62:12] 然後這裡面就是有各種各樣的Skill構成的
[62:17] 都是自然語言
[62:18] 所有的東西一行代碼都不用寫
[62:20] 但是他可以復用
[62:21] 但是他可以復用
[62:22] 你會不斷地調整這個工作流
[62:24] 然後他就會不斷地產生對你有用的知識
[62:28] 你的飛輪就站起來了
[62:30] 你想像一個擁有這樣
[62:33] 飛輪的人
[62:35] 你在這個飛輪上
[62:37] 而沒有飛輪上
[62:38] 這是一個多麼可怕的事情
[62:41] 所以這時候你可以理解
[62:43] 為什麼Open Cloud Hermes
[62:45] 是一個現象級的產品
[62:46] 為什麼他們能給人
[62:48] 這麼驚喜
[62:50] 對吧
[62:51] 比如說一個自我淨化的能力
[62:53] 雖然說我做一個CS Professional
[62:55] 我其實不驚訝
[62:56] 而且尤其是我
[62:57] 我其實挺討厭
[62:58] 比如說他去總結一個Memory
[63:00] 因為他有他的提示詞
[63:02] 然後他會把一些
[63:03] 我不想讓他記住的東西記住
[63:05] 我想讓他記住的東西不記住
[63:07] 所以我更多的時候
[63:08] 是我調由我自己的流程
[63:10] 把這個東西寫到我的實際庫裡
[63:14] 然後AI會做這些事
[63:17] 但也許有一天
[63:18] 這是因為現在產品還不夠成熟
[63:20] 模型可能還不夠強
[63:22] 當有一天模型過了那個臨界點的時候
[63:24] 我現在就比AI多一點點
[63:27] 我比AI多的那一點點
[63:29] 也被AI取代以後
[63:30] 我也被消滅了
[63:33] 我也被消滅了
[63:34] 然後在這個意義上
[63:35] 你能想到很多很多更有趣的事
[63:38] 比如說我剛才說的路平
[63:40] 你只有路平一天
[63:42] 讓AI自動改進你的流程
[63:44] 你就問AI
[63:47] 我這一天幹的這些事
[63:49] 你覺得我還有沒有提升空間
[63:51] 很有可能
[63:52] 尤其是大家在初學者的階段
[63:54] 就還有很大的提升空間
[63:56] 所以你們是
[63:58] 你們是這一代人在AI Native下長大
[64:02] 你們這一代人才是未來才有出路
[64:04] 像我現在已經被迫的
[64:06] 被迫要處理很多事務性的事情
[64:08] 我已經沒有這個機會了
[64:11] 對
[64:13] 所以
[64:14] 雖然現在還沒有完全的準備好
[64:18] 但我真的是很難理解
[64:19] 為什麼有些舊人類
[64:20] 尤其是老登
[64:22] 為什麼還要心安理得的
[64:23] 每天去做這個重複的事情
[64:25] 對吧
[64:26] 他為什麼要我
[64:29] 感覺
[64:31] 出了一些小問題
[64:33] 但是
[64:36] doesn't matter
[64:38] 我只要讓他修就行了
[64:43] 這個不重要
[64:45] 顯然
[64:46] 我需要一個更好的模型
[64:49] 但是
[64:51] 我不理解
[64:52] 為什麼這些人不意識到
[64:55] 可能公眾號的消息
[64:58] 和真正你第一手用過的人
[65:00] 他的感受
[65:01] 是很不一樣的
[65:03] 但這個時代來了
[65:04] 所以我們需要
[65:05] 認真的思考這個問題
[65:08] 這是普通人的視角
[65:11] 接下來是我的CS
[65:13] 作為一個
[65:14] Computer Science的從業人員的
[65:17] 視角
[65:18] 就是
[65:19] 如果你們只是用Agent Codex
[65:21] 說要幫我把操作系統作業做了
[65:22] 那你們真的是太小看他了
[65:25] 我們是Computer Science的人
[65:27] 我們非常知道編程的能力界線在哪裡
[65:30] 其實這就是我們和
[65:32] 和其他的一般人
[65:34] 一般人他很容易提出一個需求
[65:36] 然後這個需求
[65:37] Agent可能做不好
[65:38] 做不了
[65:39] 然後或者說他不知道應該怎麼樣
[65:41] 這個Agent能夠確定性快速的完成
[65:44] 但我們有
[65:46] 我們知道的是
[65:48] 我們是怎麼可以把需求編譯成
[65:50] 就像剛才裡面的東西編譯成
[65:52] 什麼東西可以復用
[65:53] 什麼東西應該以代碼的形式復用
[65:55] 什麼東西應該以Skill的形式復用
[65:57] 我們會
[65:58] 我們會非常的清楚
[66:00] 我舉一個例子
[66:01] 這件事情如果是一般人
[66:03] 和AI協作就會
[66:05] 就會稍微
[66:07] 可能現在AI還做不到
[66:09] 我改卷子
[66:10] 改完以後我要統分
[66:12] 那一般來說這個
[66:15] 任務就是給助教的對吧
[66:17] 助教你去把這個分加了吧
[66:19] 然後助教就掏出一個計算器
[66:21] 12加13加14加15加16
[66:23] 然後再仔細回應
[66:25] 所以我覺得我對我的學生太好了
[66:27] 這個
[66:28] 也不行
[66:29] 我今年嘗試了這樣的流水線
[66:31] 我基本上就是我第一遍我先是
[66:33] 就是歪不扣的讓它出腳本
[66:35] 測試
[66:36] 然後測試完了以後
[66:37] 我就一遍頭把它跑完
[66:39] 我的流程大概是這樣的
[66:40] 我在辦公桌上有一個
[66:42] 從頂向下的攝像頭
[66:44] 然後那個攝像頭會拍到那個試卷的
[66:46] 一個固定的位置我把它先調好
[66:48] 然後調好了以後
[66:49] 我按一個回車
[66:51] 它就會拍一張照
[66:53] 拍一張照以後
[66:55] 它就會回頭去Offline去深層
[66:57] 去用簽文去識別這個姓名
[66:59] 學號小分
[67:00] 就每一個小分
[67:01] 然後它會寫一行到一個文本文件裡
[67:03] 所以我就是
[67:05] 一張卷子按一個回車
[67:06] 一張卷子按一個回車
[67:07] 我是兩隻手的
[67:09] 我兩隻手都沒寫下
[67:10] 然後如果我這張卷子
[67:11] 比如說沒有擺好
[67:12] 我就可以調整一下
[67:13] 然後再來
[67:15] 然後第一個階段完了以後
[67:17] 第二個階段
[67:18] 按照反序
[67:19] 我還是以回車鍵
[67:21] 這時候我左右手就換了
[67:22] 我左手按回車
[67:23] 右手拿筆
[67:25] 我按回車以後
[67:30] 我的自然
[67:31] 就是我會用語音來播報
[67:33] 誰誰誰
[67:34] 學號是什麼
[67:36] 241220
[67:38] 然後它把每一個小分都報出來
[67:41] 11加12加13加14加15
[67:43] 它一邊報我一邊要檢查
[67:45] 因為OCR會有錯
[67:46] 我不信任它
[67:47] 我要對我的班上的每一個同學負責
[67:50] 然後我檢查過沒問題以後
[67:52] 我就會把它報的那個最終的分數
[67:54] 給抄寫到圈面上
[67:56] 這個分數是用腳本算
[67:58] 就一般要算出來
[68:00] 所以它是不會錯
[68:01] 它不會因為大圓模型的話
[68:02] 你就算錯
[68:03] 我沒有讓大模型做加法
[68:05] 所以我對所有同學是負責的
[68:07] 就是每一個分數我都看過了
[68:10] 然後最後分數會自動匯總到
[68:13] 教務處的那個XR的模板上
[68:16] 然後最後我可以用這個東西
[68:19] 對吧
[68:20] 我可以用這個方式
[68:23] 把那個XR文件上傳
[68:25] 然後我再抽樣檢查
[68:27] 確保沒有問題以後
[68:29] 再來提交
[68:31] 所以你看到
[68:32] 確實是配合一個多方數法
[68:34] 但因為我是一個CS Professional
[68:36] 所以我知道邊界在哪裡
[68:38] 我知道我的本地有一個
[68:40] 27B的千萬3.8
[68:42] 然後歐拉馬可以用
[68:44] 然後我知道應該用這樣的流程
[68:47] 一個最舒服的流程
[68:49] 減輕我和Agent之間同步的代價
[68:52] 而這些東西都是
[68:54] 如果一般人
[68:56] 你可以試一下
[68:57] 比如說你
[68:58] 哪怕是跟最好的模型說
[69:00] 我現在改了140張卷子
[69:02] 改好了
[69:03] 小分都已經寫上去了
[69:04] 我要統分
[69:05] 幫我實現它
[69:07] 到不了一個這麼快的
[69:09] 收斂的方案
[69:11] 所以有些時候現在我還需要
[69:15] 人和AI要共建
[69:18] 但我也讀有一天
[69:19] AI的能力能夠搶到
[69:20] 它能夠感知我的一切
[69:22] 然後能幫我做一個完美的東西
[69:26] 那我們就可以回到
[69:27] 軟件工程的話題了
[69:28] 畢竟這是深層式軟件工程
[69:30] 我們來做一個
[69:32] 小的軟件工程的產品吧
[69:34] 因為我選它
[69:36] 正好就是有一天
[69:37] 前幾天它一個星期左右的時間裡
[69:39] 有一個我們在群裡面
[69:41] 突然閒聊
[69:42] 說機器被管控了
[69:43] 很討厭
[69:44] 然後我們就想
[69:45] 有沒有可能
[69:46] 你假設
[69:48] 你現在在一個金融公司裡
[69:50] 然後這個金融公司
[69:52] 數據是可以帶進去的
[69:54] 但是數據是出不來的
[69:56] 就是你
[69:57] 比如說你插一個U盤
[69:58] 然後你可以把一個Word
[69:59] 或者一個XR拷進去
[70:01] 然後Word、XR拷進去以後
[70:02] 它就進去了
[70:03] 但是沒有任何文件
[70:04] 可以拷到外面拷出來
[70:07] 有機器做了管控
[70:09] 然後它不能執行
[70:10] 任何不信任的程序
[70:11] 不能顯示任何不信任的網頁
[70:13] 你唯一能做的就是
[70:14] 在遠處可以悄悄射屏
[70:16] 但是你想把一個
[70:17] 很大的文件給偷出來
[70:20] 你怎麼辦
[70:22] 對吧
[70:23] 這就是Computer Science的人
[70:24] 才能想到的
[70:27] 想到的事情
[70:28] 我幹了這樣一件事
[70:35] 我做了這樣的一個程序
[70:38] 我可以叫它程序嗎
[70:39] 對 可以叫它程序
[70:42] 這是一個典型的
[70:43] 軟件工程任務
[70:46] 這是一個二維碼
[70:49] 然後我可以把
[70:51] 任何一個文件的內容
[70:53] 比如說我現在文件的內容
[70:55] 就是Hello
[70:59] Hello World完了以後
[71:01] 你看這個二維碼就變了
[71:02] 你們可以掃
[71:04] 掃一下 我也掃一下
[71:05] 這個二維碼沒有危害
[71:09] 應該不會封號吧
[71:12] 掃出來是一個
[71:13] Base64編碼的字符串
[71:15] 然後它是0001
[71:18] Base64編碼的字符串
[71:20] 然後我這可以是一個
[71:21] 非常非常長的字符串
[71:22] 比如說我有一個
[71:23] 很長的Hello World
[71:25] 這個很長的Hello World
[71:27] 我就可以編碼
[71:28] 成一個二維碼的動畫
[71:30] 你看這裡有一個
[71:33] 這裡有一個真號
[71:41] 這時候我按住F9
[71:43] 刷新
[71:44] 6
[71:49] 7
[71:50] 這就是一個二維碼動畫
[71:52] 也就是說你只要
[71:53] 偷偷的設屏
[71:56] 然後你把所有的
[71:57] 每一幀它是循環播放的
[71:58] 你把每一幀都拍到
[72:00] 你就把這裡的數據給偷走了
[72:03] 所以我用完全合法的方式
[72:05] 注意這是XR
[72:06] XR是合法的
[72:07] 然後我用了
[72:08] 所有的東西都是公式
[72:10] 大家可以看一下
[72:11] 公式在這裡
[72:16] 全部都是XR的公式
[72:20] 都是合法的XR公式
[72:23] 而且是2019之前的XR
[72:25] 都建容的公式
[72:27] 然後把這個二維碼偷出來
[72:28] 這個就是一個例子
[72:32] 然後你作為CS Professional
[72:35] 你可以用這個方式
[72:36] 偷數據出來
[72:38] 你也可以
[72:39] 如果能在那個機器裡面
[72:40] 裝EXE的話
[72:41] 當然一般是不行的
[72:43] 你可以用抖鼠標的方式
[72:46] 你可以在上下緯度
[72:47] 抖鼠標就是0
[72:48] 左右緯度抖鼠標就是1
[72:51] 然後你用遠程桌面連進去
[72:52] 然後你就可以
[72:53] 可以往裡面傳輸數據
[72:55] 然後你用二維碼的動畫
[72:56] 就可以往外面
[72:58] 送數據
[72:59] 這樣你只要有一個遠程桌面
[73:00] 你就可以在那裡
[73:01] 做一個虛擬網卡
[73:03] 你可以把遠程桌面
[73:04] 變成虛擬網卡
[73:05] 然後你就可以
[73:06] 和它連起來
[73:07] 然後你是Computer Science的學生
[73:08] 你知道
[73:09] 你上過操作系統
[73:10] 上過鏡像機網絡
[73:11] 你知道這裡面需要的
[73:12] 組件是什麼
[73:13] 你就可以把它Wipe Coding出來
[73:15] 對吧
[73:16] 這是一個
[73:17] AI Agent
[73:19] 可以
[73:21] 可以
[73:22] 可以做到
[73:25] 所以
[73:27] 對吧
[73:28] 當然就這個有意思的例子
[73:29] 我剛才
[73:30] 我這個Excel是用
[73:31] 是用AI生成的
[73:34] 你的想像力
[73:36] 限制了你能做什麼
[73:38] 就這個
[73:39] 對吧
[73:40] 我們總結一下
[73:41] 我們做一般人
[73:42] 一般人可以
[73:44] 學習
[73:45] 對吧
[73:46] 看書
[73:47] 可以做總結
[73:48] 然後可以
[73:49] 實現一個這樣的
[73:50] 信息處理的閉環
[73:53] 還可以操作
[73:54] 對吧
[73:55] 可以用Computer Use
[73:56] Browser Use
[73:57] 去做任何
[73:58] 你平時日常裡
[73:59] 做的
[74:00] 做的事情
[74:01] 同時
[74:02] 因為Everything is Code
[74:03] 我可以用AI生成
[74:05] 你能看到的
[74:06] 所有的東西
[74:07] 視頻
[74:08] 論文
[74:10] 東西
[74:12] 我們在做
[74:13] 我在和一個同學
[74:14] 做一個叫Wi-Fi的項目
[74:16] 用一個自然語言
[74:17] 我再你打印機
[74:18] 可以打印一個東西出來
[74:19] 真的東西
[74:20] 也是Code
[74:21] 也是Python代碼
[74:22] 真的是Python代碼
[74:23] 所以能夠實現這個
[74:24] 從Bit到Atoms
[74:26] 這個未來
[74:28] 已經來了
[74:29] 我們看到它只會
[74:31] AI的能力只會變強
[74:32] 不會變弱
[74:33] 那麼
[74:34] 下一個問題就是
[74:35] 它什麼時候來
[74:36] 以及我們應該
[74:37] 怎麼面對它
[74:40] 那關於面對
[74:41] 我們就可以進入這個
[74:43] 生成式軟件工程
[74:44] 最重要的內容
[74:45] 對吧
[74:47] 剛才
[74:48] 我們就建立了一個
[74:51] 思路相關鏡頭
[74:54] 時代的車輪來了
[74:55] 我已經被壓在車底下了
[74:59] 不著急
[75:00] AI也不是完全完美的
[75:03] 在LM之前的時代
[75:04] 就有一個老梗說
[75:06] Idea都有了
[75:07] 我們是商學院的
[75:08] 不知道你們商學院同學
[75:09] 有沒有跟你們說過這個
[75:10] Idea都有了
[75:11] 就差一個程序員了
[75:12] 我們去掙一個億吧
[75:13] 對吧
[75:14] 然後ABCD輪也都有了
[75:15] 就差一個天使投資人了
[75:17] 沒有人投資我們
[75:19] 沒有那麼簡單
[75:20] 沒有那麼簡單
[75:21] 就是AI首先AI很強
[75:22] 我展示了AI可以做什麼
[75:24] 但是
[75:26] 產品是一個系統性的工程
[75:28] 你
[75:29] 你如果要做一個
[75:31] 什麼
[75:32] 外賣
[75:33] 你想做一個什麼外賣網站
[75:35] 你要做前端後端交互運營
[75:37] 整個流程上面
[75:39] 任何一個環節做不好
[75:40] 產品都是直接暴斃的
[75:42] 雖然AI都可以做
[75:44] 每一個對吧
[75:45] AI也能設計前端
[75:46] 也能做後端
[75:47] 也能交互
[75:48] 也能運營
[75:49] 他看過世界上所有的書
[75:51] 他什麼都知道
[75:53] 但是如果你組織得不好
[75:56] 直接也是立即
[75:58] 立即就暴斃
[75:59] 實際上
[76:00] 實際上
[76:01] 這個
[76:04] 我的QR證點一下
[76:07] 我做了一個實驗
[76:08] 讓AI去做
[76:09] AI生成了完全不可維護的代碼
[76:12] 我馬上就會講到這個軟體工程點
[76:14] 然後1號點
[76:15] NZU1.1.CN
[76:17] 難用嗎
[76:18] 始終始
[76:19] 然後每年學校都會花巨額的錢
[76:22] 讓這個公司維護這份代碼
[76:25] 就是因為它要添一個功能
[76:27] 打個比方
[76:28] 因為我在用這個Brotheruse的時候
[76:30] 我還稍微hack了一下這個系統
[76:34] 我發現
[76:35] 有些隱藏的字段
[76:37] 比如說
[76:38] 你能夠看到一個學生的校區
[76:41] 在蘇州校區建成之前
[76:44] 這個系統裡面是不需要這個字段的
[76:46] 然後為了兼容這個蘇州校區
[76:48] 你們寫過軟體的人都知道
[76:50] 你們在設計
[76:52] 需求設計的時候
[76:53] 你沒有想到學校竟然還有校區這個東西
[76:56] 數據庫裡就沒有這個東西
[76:57] 然後突然有一天你的產品經理說
[77:00] 我們兩個校區選擇要分開的時候
[77:06] 當然你現在是沒問題
[77:08] 因為你產品經理
[77:09] 就是跟AI說
[77:11] 現在你原來系統是可以用了
[77:13] 我現在多了一個校區
[77:14] 蘇州校區
[77:15] 我要把校區分開
[77:16] 然後AI就開始寫案了
[77:17] 但是
[77:21] 還是很容易失敗的
[77:24] 這就是非常典型的
[77:25] 軟件工程的失敗
[77:26] 所以我可以講一下
[77:27] 剛才那個QRGen的暴斃
[77:29] AI是怎麼暴斃的
[77:30] 它是一個非常明確的需求
[77:32] 我要一個QR Code的XR
[77:34] 然後我只使用這個XR2019兼容的公式
[77:37] 把輸入的任意一個字復串
[77:38] 先用Base64編碼
[77:40] 然後轉成QR Code動畫
[77:41] 沒真實什麼的
[77:43] 然後當然我為了
[77:45] 我開始讓AI做的時候
[77:47] 我還發現這個任務
[77:48] 經常他坐著就停下來問我
[77:50] 然後我說不要
[77:51] 你會很容易失敗
[77:52] 然後你不要問我了
[77:53] 必須把它做成為止
[77:56] 但是很遺憾
[77:58] AI對這個需求的理解
[78:00] 是不到位的
[78:02] 就我說清楚了
[78:05] 確實我就是要做這個東西
[78:07] 但是
[78:10] 這是GPT-5.6
[78:11] GPT-5.6依然誤解了
[78:14] 我到底要一個什麼東西
[78:16] GPT-5.6說的對
[78:18] 因為它看到了我的完整的slice
[78:21] 但我沒有告訴它我是怎麼做的
[78:23] 所以它認為
[78:24] AI哪裡容易犯錯
[78:26] AI容易在小corner case上犯錯
[78:29] GPT-5.6第一秒鐘就被帶歪了
[78:32] 它希望做一個對於任意的
[78:34] S都滿足正確性的東西
[78:37] 這就已經錯了
[78:38] 不是的
[78:39] 軟件工程的第一步
[78:41] 不要擴大
[78:43] 做最簡單的東西
[78:45] 不會失敗
[78:46] 它沒有理解這一件事
[78:49] 事實上是這樣的
[78:51] 我後來做了一個受控的實驗
[78:53] 因為第一個版本
[78:54] 是我帶著AI做的
[78:55] 所以做得還比較順利
[78:57] 然後後來我就直接把這個specification
[78:59] 就這個告訴AI
[79:00] 然後AI竟然5.3
[79:03] 第一次思考了25分鐘
[79:06] 然後開始瘋狂的輸出
[79:08] 寫了超過32K的output token
[79:11] 然後直接我的callcode就幹爆了
[79:13] 它說你直接
[79:14] 就說你已經超過了
[79:15] 默認的output的限制了
[79:17] 然後被截斷了
[79:18] 然後它再跑
[79:19] 總共跑了
[79:20] 我沒有監管
[79:21] 跑了六個小時才跑完
[79:23] 但是對的
[79:24] 所以智普他一直說
[79:25] 他自己厲害的地方是
[79:26] 他可以做long horizon的任務
[79:28] 是對的
[79:29] 他就是後勤鏈線人
[79:30] 這個5.3
[79:31] 在這個long horizon任務上
[79:32] 真的做得很好
[79:34] 然後DeepSec V4 Pro
[79:36] 也是晚上跑著跑著
[79:37] 他已經沒有辦法遵循指令了
[79:39] 我第二天早上
[79:41] 因為我晚上在碰碰
[79:42] 我第二天早上看的時候
[79:44] 他給了一個
[79:45] base64是硬編碼的
[79:47] 就是他用python算了一個base64
[79:50] 這明顯就不符合這個指令碼
[79:52] 對吧
[79:53] 把一個輸入的任意字符算
[79:54] 先用64編碼
[79:55] 這肯定是
[79:58] 對吧
[79:59] 正常人的理解應該是
[80:00] base64是用Excel公式來編碼
[80:02] 他已經不聽指令了
[80:03] 他是用python算了一個base64
[80:05] 貼到那個公式框裡
[80:06] 如果我的那個字符算改了
[80:07] 他的base64是不會改的
[80:09] 然後我
[80:10] 然後我就罵他了
[80:11] 我罵完以後
[80:12] 他那個ChannelSogin說
[80:14] This is a fundamental design
[80:15] I want you to rethink it
[80:18] 不管怎麼樣
[80:19] 就是他們兩個最終都完成了任務
[80:21] 所以agent完成任務能力很強
[80:24] 但他們生成的
[80:25] 都是沒有辦法繼續維護
[80:27] 下面下來的
[80:28] AI Slot
[80:30] 他和1號.NGU.16CN的思法
[80:32] 是完全一樣的
[80:33] 就是軟件工程裡面
[80:34] 最經典的思法
[80:35] 上來我知道需求了
[80:37] 我把這個需求實現了就好了
[80:39] 直接就陷入了維護的泥濤
[80:41] 他們沒有想一個好的軟件的架構
[80:44] 使得這個軟件能夠
[80:45] 對吧
[80:46] 有一個比較
[80:49] 誇張的說法說
[80:50] 我們能不能做一個軟件
[80:51] 生存100年
[80:52] 對吧
[80:53] 100年在100年時間裡面
[80:54] 軟件會發生很大的變化
[80:56] 你想過去的沒有100年50年
[80:59] 操系統發生什麼樣的變化
[81:00] 組型界面發生了什麼樣的變化
[81:02] 叫用戶界面
[81:03] 應用程序發生了什麼樣的變化
[81:04] 有沒有一個軟件能生存100年
[81:06] 還不知道
[81:08] 但是你看這GPT-5.6還都不知道
[81:12] 還不知道
[81:14] 其實
[81:15] 我們需要一個好的架構
[81:18] 才能完成這個任務
[81:21] 我是怎麼辦到的
[81:23] 你們可以想一下
[81:24] 如果你們要
[81:25] 對吧一個Quick Quiz
[81:26] 如果你們要實現這個QR Gen
[81:28] 你們會怎麼寫
[81:30] 怎麼Prompt AI
[81:32] 對吧
[81:33] 我實際上是只用了少量的Prompt
[81:36] GPT5.3在200K上下盤裡面
[81:38] 就完成了第一個正確的版本
[81:39] 當時是我升級的GPT5.3
[81:41] 我就想測試一下它的能力
[81:43] 我幹了這樣的一件事
[81:45] 我讓它設計一個
[81:47] 各種各樣的Python類
[81:48] 就有點像編譯器一樣
[81:50] 比如說
[81:51] 我要設計一個Python的函數
[81:54] 叫XOR一個符號系統
[81:58] 比如說因為這裡面是叫未允算
[82:00] 然後這個東西既可以翻譯成
[82:02] 既可以在Python裡面直接執行
[82:05] 又可以翻譯成XR
[82:08] 也就是說我做了一個
[82:09] 像編譯器一樣的基礎設施
[82:11] 然後
[82:13] 我有什麼XOR什麼Concate
[82:17] 也就是說我做了一個中間語言
[82:19] 有點像如果你們今天做這個
[82:21] AI Infra的話
[82:22] 你們會需要一個
[82:23] Python這樣的中間的語言
[82:24] 我讓它先設計一個中間語言
[82:26] 這個中間語言既對Python有好
[82:28] 也對XR有好
[82:29] 然後我只需要驗證的是
[82:31] 我的每一個翻譯都是正確的
[82:33] 到XR正確的翻譯是正確的
[82:35] 到Python的結果是正確的
[82:37] 然後我可以在Python的世界裡面
[82:39] 驗證我的Base64編碼算得對不對
[82:41] 我的二維碼的每個像素算得對不對
[82:43] 然後我再單獨驗證每一個東西
[82:45] 和XR的公式翻譯的正確性
[82:47] 竟然融進
[82:49] 最後一把頭生成就直接正確
[82:52] 代碼非常的乾淨
[82:53] 也不長
[82:55] 可能長
[82:56] 但是
[82:57] 維護性遠比
[82:58] 大家可以看一下這個
[83:00] 看一下AISlove
[83:05] GM5.3的BuildXR
[83:09] 這我真的覺得AI
[83:14] 還是很厲害的
[83:16] 無窮多的硬碼
[83:19] 就這樣就這麼說
[83:22] 我們可以看一下
[83:24] 我沒有把它的XR
[83:28] check進來
[83:29] check進來
[83:30] 然後再看一下這個DeepSec
[83:37] 不同的roadmap
[83:40] 但是
[83:45] 反正不同的roadmap但是
[83:48] 一樣的思路
[83:50] 就這麼說
[83:51] 這兩份代碼
[83:53] 我讓他們把那個工作區
[83:55] 從一個位置移動到另外一個位置
[83:58] 它都得修兩個小時
[84:01] 就是它不停地錯
[84:03] 因為它所有東西都是硬碼
[84:05] 它只要改錯一點點地方
[84:07] 它的vibration就通不過
[84:09] 它得再向agent一樣
[84:11] 修
[84:12] 它確實可能能修完
[84:14] 但是這個是軟件工程
[84:16] 所以在今天你還需要生存式軟件工程
[84:20] 需要這門課
[84:21] 所以我基本上就是把我
[84:23] 我作為一個軟工人
[84:24] 我其實是做軟件工程的
[84:27] 把我的畢生所學
[84:30] 雖然我覺得AI應該也懂的
[84:32] 當然我不知道為什麼
[84:33] 可能是因為後訓練的原因
[84:36] AI上手解決問題的
[84:39] 欲望太強了導致了
[84:42] 好像
[84:43] 我覺得可能做得還不是特別的好
[84:46] 這裡面核心的問題是什麼
[84:48] 是這個世界上有三個
[84:50] 就當我們要用AI解決問題的時候
[84:52] 我們有三個空間
[84:53] 第一個空間叫intention
[84:55] 至於的意圖
[84:57] 就是你腦子裡面想的是什麼
[84:58] 比如說
[84:59] 老闆說
[85:00] 我要做一個國民級的應用
[85:03] 這是intention
[85:04] 或者說我要做一個小程序
[85:06] 給我掙一個億
[85:07] 這是intention
[85:09] 小程序可能有一些強項
[85:13] 同學們點外賣不方便
[85:15] 我要做一個點外賣的小程序
[85:17] 掙一個億就可以掙一個億了
[85:18] 然後這個在intention space裡面
[85:23] 這已經很大了
[85:25] 有的人想做外賣
[85:27] 有的人就想做AI讀論文
[85:29] AI耿同學
[85:30] 然後在intention space裡面
[85:32] 每一個intention
[85:35] 都有很多種可能的實現
[85:39] 這是specification
[85:43] specification就是說
[85:44] 這個程序的功能是什麼
[85:46] 選用什麼樣的架構
[85:50] 甚至架構都不是
[85:51] 它要滿足什麼樣的要求
[85:53] 它有幾個介面
[85:54] 然後每個介面有什麼功能
[85:56] 就比如說這個就是specification
