[00:00] 我们上周讲了一点版本管理
[60:07] 你真的把这些东西学会了
[60:09] 你回来想的时候
[60:10] 软件工程里面
[60:11] 这些概念又再做一次
[60:14] 所以所以想现在如果agent他的动作非常快
[60:19] 我们其实应该用更加偏向这种
[60:23] 悲观的并发控制
[60:25] 也就是说我今天要做什么事
[60:28] 或者我有个主agent
[60:30] 我规划
[60:30] 然后规划完了以后
[60:31] 我就立马把这个项目的某一个部分给锁上
[60:35] 我可以把这个git
[60:36] 就说我应该在一个git repo
[60:39] 或者一个快照上
[60:40] 我支持一个锁的操作
[60:41] 把这些scope说好
[60:43] 我现在锁住了
[60:44] 我要我要我要我现在做一件事
[60:46] 需要这些他先上锁
[60:48] 然后上锁以后做完以后commit
[60:50] 然后另外一边也可以上锁
[60:53] 但是如果一旦他想要干的事情
[60:55] 被另外一一个人锁上了
[60:57] 他就必须等到这个锁前面人释放了
[61:00] 他才能才能才能再上锁
[61:03] 这样不就几乎避免了所有的冲突
[61:05] 在文就比如说打个比方
[61:06] 我可以在文件级上锁
[61:09] 我就避免了两个agent它会同时写同一个测试
[61:13] 往同一个
[61:13] 比如说测试或者一个配置里面里面做更改
[61:16] 然后但是又因为agent数量足够多
[61:19] 这个速度足够快
[61:21] 我还是可以保证整体项目的进度可以往前推
[61:23] 因为也许还有别的agent可以继续运行
[61:26] 这也就跟操作系统里面
[61:28] 我们其实现并发程序
[61:29] 我经常说
[61:32] 如果你一把大锁保平安了
[61:34] 或者你哪怕是锁锁拆拆桥了
[61:37] 我们互斥锁
[61:38] 它的本质是不要并行
[61:42] 不要并发
[61:43] 他和这个多处理器并行是根有根本矛盾的
[61:46] 他不就要把一个并行能并发的程序退回
[61:49] 退回一个串行程序
[61:51] 但是当这个系统里面有好多独立的
[61:54] 不冲突的线程在运行的时候
[61:56] 我即便每一个线程都持有了一把锁
[61:58] 他还是可以继续高效的
[62:00] 即便是悲观的
[62:01] 他依然可以是
[62:03] 可以是高效的
[62:04] 就是这些知识关联关联起来让你看清楚
[62:07] 可能
[62:08] 我觉得在agent的时代
[62:10] 我们又可以重新设计一个版本控制的系统
[62:13] 所以我觉得这就在在agent时代
[62:15] 软件工程肯定是要发生很大的变化的
[62:18] 你从这first principle出发
[62:19] 我们要管理快照
[62:20] 我们要管理版本
[62:21] 我们要管理change
[62:22] 我们还要管理飞快的change
[62:26] 那答案是什么
[62:27] 可能
[62:28] git可能是一条线
[62:30] 如果我们用一种像这样的方式来管理软件
[62:32] 那可能又是另外啊另外一条线
[62:36] 所以你发现这个学操作系统
[62:38] 学数据库这些东西有用
[62:40] 你还是虽然痛苦
[62:42] 你怀怀疑在AI时代我学这种东西
[62:44] AI都会写了数据库
[62:46] 这个是SQL 查询
[62:48] 我早就早就不写任何SQL查询了
[62:51] 那我们还有没有可能学数据库是有用的
[62:56] 答案是有用的
[62:57] 你还是去好好学习
[62:59] 当然数据库里面也有这种advisory lock这样的
[63:02] 这个机制也是为什么我喜欢上课的原因
[63:06] 就是我如果我不来上操作系统课
[63:10] 我不上这个生成式软件工程课
[63:12] 可能就不会让我去对
[63:14] 我在备课的时候会把这些事情在脑袋里面
[63:17] 再过一遍
[63:18] 是不是地球上所有人都错了
[63:20] 因为因为我要讲给你们的时候
[63:22] 我必须要共情
[63:23] 我的听众要考虑到你们是一个
[63:26] 只能只能接受这个比较平实朴实逻辑的
[63:30] 听众不能直接就说哎
[63:31] 这个什么事故系统是怎么设计的等的
[63:33] 我必须要把那个那个最顶层的idea啊提炼出来
[63:38] 然后试图让大家共情
[63:40] 当然这可能我做的也不够好
[63:41] 这个哼你们可以在AI的帮助下
[63:44] 再来再来重新理解一下
[63:48] OK好
[63:52] 版本控制
[63:53] 那版本管理
[63:53] 基本上其实我就我就我就讲完了
[63:55] 从历史动机到过去git讲到现在
[64:01] 这次再讲到未来可能发生的事情
[64:04] 但是但是版本控制本质上还是一个工具
[64:07] 不管
[64:08] 哪怕是我刚才那种
[64:09] 比如说基于乐一种乐观或者悲观锁的版本控制
[64:12] 真正困难的实际上是在进度
[64:16] 也就是团队的管理
[64:20] 我们为什么现在觉得还需要软件工程
[64:23] 就是因为我们现在没有办法做到一句话
[64:26] 就直出一个高质量的产品
[64:28] 如果斩杀线到了到了这个就老板
[64:31] 老板有一个想法就说
[64:35] 就说我要做一个agent用的微信
[64:40] 我随随口说一说一个
[64:42] 或者说做一个AI时代的微信
[64:44] 然后这个微信是一个社交爆款
[64:46] 然后以后以后这些人社交
[64:48] 可能也就不要用微信了
[64:49] 就用我
[64:50] 当然你可能有个更具体的想法
[64:52] 比如说为什么你有一些思考
[64:54] 然后如果这时候AI直接就能出那个
[64:57] 微信级的产品
[64:58] 那软件工程就已经死了
[64:59] 那我们就都死了
[65:02] 但是呢现在这个斩杀线暂时还没有到
[65:05] 所以至少没有到这个团队管理
[65:09] 这一层面
[65:12] 所以我们可能还要学
[65:17] 但是我觉得可能也许有一天
[65:21] 真的我也要被拆掉
[65:23] 因为摩尔定律本质上也是用scaling law它
[65:26] 它现在还是成立的
[65:28] 模型
[65:28] 肯定会更强更小更快
[65:30] 然后也许算力就有一天能够唤出我们的我
[65:36] 我们的智能
[65:37] 但今天至少AI还不知道怎么做团队的管理
[65:42] 因为每当你多一个人的时候
[65:44] 这个沟通的关系都是平方级的上升的
[65:48] 因此现在软件工程团队里面
[65:51] 最难招的其实不是码农
[65:53] 是那个能把任务分解的那个team leader
[65:58] 也就最难招的是那种
[66:01] 能把那种国民级的应用的那种
[66:03] 他说我要我要去造一个微信
[66:05] 然后那个微信他还能够分出对
[66:08] 我就一个100人的团队
[66:09] 能分出十个小团队
[66:11] 然后十个人十个team leader干
[66:13] 最后加起来我拼起来还能成为一个一个团队
[66:16] 这个人人最稀缺
[66:17] 然后接下来那个能够带领小团队的人
[66:20] 其实也很也很稀缺
[66:22] 这个人月神话里面那里面就是人之人
[66:25] 人之间两两之间就是平方级的沟通沟通关系
[66:31] 然后就算是你能把你份内的事情做好
[66:36] 就因为这个平方级的沟通关系
[66:37] 别人也在做他的事
[66:39] 你不百分之百知道别人在做什么事的时候
[66:41] 或者你对这个整体的团队了解不是很好的时候
[66:46] 你还是就这样
[66:47] 最后就会各种冲突
[66:49] 然后你写的测试我过不了
[66:51] 就经常会发生
[66:53] 发生发生这样的事情
[66:55] 那么如果我们想要管一个团队的话
[67:04] 或者说你们在今天在想要在毕业的时候
[67:08] 能够具有一定的团队管理能力
[67:10] 你现在就可以当成是那个主agent的
[67:13] 就像我刚才那样
[67:14] 刚刚才当然刚才我给了一个不好的示范
[67:17] 我说我说我今天创了两个slave
[67:19] 你现你现在
[67:20] 你现在也可以立即拥有这个
[67:22] DeepSeek V4的这个slave
[67:24] 然后然后你可以去想
[67:26] 如果你要尽可能最大化两个或者
[67:29] 三个或者更多agent
[67:30] 你应该怎么把这个任务给分解
[67:36] 然后你应该怎么样确定一个提交的策略
[67:41] 什么时候你的agent应该提交
[67:43] 什么时候他应该合并
[67:45] 然后你就可以把刚才我们讲的
[67:48] 所有的版本控制的概念带到你的开发流程里
[67:51] 所以重要是这句话
[67:54] 版本控制是工具
[67:56] 它是由蒸馏了人类过去软件工程很多年的经验
[68:02] 得到的是我们要人类要这样开发
[68:05] 然后在这个工具上
[68:06] 你可以开发出属于你自己的
[68:08] 软件工程的直觉和经验啊来做
[68:13] 然后这里面就有好多比如说学东西还是有用的
[68:15] 一些意外
[68:18] 除了比如说我
[68:19] 我可能后面后面再讲
[68:20] 怎么怎么来做这个软件管理
[68:25] 最近我看到一个蛮有意思的题目
[68:29] 啊大概就是这样的
[68:31] 这样的我又带了这个模型
[68:33] 但淘宝好脑游很喜欢的
[68:35] 淘宝好友好多游
[68:36] 作为一个面试题
[68:38] 这好像是应该是
[68:41] 因为我不知道为什么就在网上刷到了
[68:43] 是小一般是小学生考级的题目
[68:46] 汉诺塔都会低V的
[68:49] 会好会现有个额外的要求
[68:52] 就是你的所有的盘子的移动只能往一个方向
[68:56] 就比如说我现在我现在两简单一点
[68:59] 两两个盘子
[68:59] 两个盘子
[69:00] 我现在移移过来
[69:03] 这个方向移是可以的
[69:05] 是可以的
[69:07] 这个方向移是可以的
[69:10] 这个方向移也是可以的
[69:13] 这个方向移也是可以的
[69:14] 就是我要啧往只能往一个方向移动
[69:19] 当然折过折过来就折回去
[69:21] 我不允许的事
[69:23] 就是你三个盘子的时候
[69:24] 你就能看出
[69:26] 哦三个盘子的时候就可以看出问题了
[69:29] 如果我要移三个盘子的话
[69:31] 我希望的是先把两个移到中间
[69:36] 假设两个已经移到中间了
[69:38] 那这时候这时候我下一个就是从
[69:40] 把这个盘子从这里移到这里就对了
[69:43] 这是汉诺塔的正常的移法
[69:46] 但是在这个限制下
[69:48] 你是做不到的
[69:51] 在这个限制下
[69:52] 你不能把它移到这儿
[69:54] 就你只能往一个方向
[69:55] 比如说往那个方向方向移动好
[69:58] 你很难想象小学生要做这样的题
[70:01] 然后他要输出这个真想
[70:04] 如果现在是你们
[70:05] 你们就在保研的这个机制或者是
[70:10] 保研机制就是小学生难度
[70:12] 这个你就碰到这个题了
[70:15] 你要输出方案或者输出这个数数字
[70:19] 反正N也不是很大
[70:20] 但是你确实需要一个额
[70:23] 需要一个方需要理解这个问题
[70:26] 诶
[70:31] 那当然我
[70:32] 我讲的不是这个这个汉诺塔的故事
[70:34] 我讲的不是这个汉诺塔的故事
[70:35] 这个这个汉诺塔的故事是
[70:37] 你递归的时候
[70:40] 你现在要把它移过来
[70:42] 你为了移过来
[70:44] 你只能你还是先还是一样的
[70:47] 你先要把它移到这个
[70:51] 你需要的是先把它移到这里
[70:53] 然后让这个最大的盘子向右移一个
[70:56] 然后再把它移到这里
[70:59] 再让向右的盘子移到这
[71:01] 再把它移到这里
[71:04] 所以就相当于是你考虑这个考虑最大的盘子
[71:08] 那个最优解
[71:09] 他考虑最大的盘子总是向右移一个
[71:12] 再向右右移一个的好
[71:15] 那当然我这个拆开拆开来讲
[71:17] 是因为
[71:21] 我能用这个吗
[71:22] 在这
[71:25] 我准备了一个小例子
[71:38] 我准备这个例子
[71:40] 我写了一个啊这样的这个程序好
[71:45] 没问题
[71:46] 就他就是就是我刚才说的说的那个
[71:48] 就是我得把
[71:50] 如果我的下一个目标不是目标的话
[71:53] 我只有最大的盘子
[71:54] 我总是向右移一个
[71:56] 再向右移一个
[71:56] 所以它是它是最优的
[71:58] 就是我最大的盘子的那个移动是最最最少的
[72:02] 最就是这是不可避免的
[72:04] 然后剩下的也就基于inductive就归纳法
[72:09] 我这个也是也是也是也是最优的
[72:11] 有点难
[72:12] 你很难想象小学生那样可以做这样的题
[72:15] 但这不重要
[72:16] 重要的是我们现在要推出这个产品
[72:21] 比如说我现在要把这个东西卖给小学生
[72:24] 那我怎我
[72:25] 我怎么样才能最好的把这个产品卖给小学生
[72:28] 当然是提供付费的增值服务
[72:31] 比如说这个小学生在这个
[72:35] 他可以在这里写代码
[72:37] 我这个代码是可以可以随时编辑的
[72:39] 比如说我可以再写一个
[72:41] 他就错了对
[72:43] 我的可视化是随随代码来运动的
[72:48] 比如说错了
[72:48] 他就我就可以找到
[72:50] 比如说对找到找到我这条语句
[72:55] 试图把一个蓝色的移到就小的
[72:58] 移到啊移到大的上
[72:59] 然后然后同学们就能找到bug
[73:01] 那如果我要挣钱的话
[73:03] 我要提供增值服务
[73:05] 就现在现在还只是一个就是就是一个纯粹的你
[73:11] 你可以这个playground
[73:12] 然后你可以可以可以写代码
[73:14] 然后可以可以可以运行它
[73:16] 然后到这个时候我就要提供一个AI助教
[73:20] 比如说这个小朋友
[73:22] 当然这个是不是不太好
[73:23] 这个开玩笑的
[73:25] 这个我们还是尽可能以一个便宜的成本
[73:27] 提供给小朋友们
[73:29] 这个
[73:32] 当你实在做不下去的时候
[73:35] 你就可以点一个这个叫我要助教
[73:38] 然后这个时候DeepSeek的token就开始燃烧
[73:41] 然后这样我可以收取
[73:42] 比你比这个DeepSeek原价更贵的token费
[73:46] 然后然后记在你的你的你的账户上
[73:50] 这样
[73:50] 然后因为因为我的prompt是我独门的
[73:53] 我作为一个有经验的老教师
[73:55] 我可以把我自己蒸馏成prompt
[73:57] 然后然后然后然后我可以敏锐的知道
[73:59] 这个小朋友的问题在哪里
[74:01] 然后给他提供一个个性化的指导
[74:05] 我就这个时候我就涉及到要做一个信息系统了
[74:09] 要做一个信息系统
[74:10] 那做这个信息系统
[74:13] 因因为我有我
[74:15] 我让学生来做这个事
[74:17] 我自己没有时间
[74:18] 我竟然有这么大的这个市场的钱
[74:21] 我竟然都不想挣这个
[74:23] 然后然后学生学生在设计
[74:25] 然后我看了那个学生和AI聊完那一版设计
[74:27] 然后我也让那个GPT 也
[74:30] 来
[74:30] 就是大概梳理了一下下需求
[74:33] 这个是GP的
[74:34] 原话他说叫一个API应用
[74:36] 一个关系数据库
[74:37] 一个对象存储
[74:38] 然后需要异步点点评时再加后台任务进程
[74:42] 数据库关系和记录
[74:44] 大课程包与完整轨迹存放对象存储
[74:47] 任务量小时
[74:48] 数据库任务表就够用
[74:49] 这是一个非常正常的
[74:51] 就是就如果如果是你们上软件工程课
[74:54] 那太正常了
[74:55] 你看GPT
[74:56] 它是一个语言模型
[74:58] 但我不喜欢这个设计
[75:02] 我不喜欢这个设计
[75:03] 为什么
[75:04] 因为
[75:08] 我不知道你们有没有用过overleaf
[75:09] 就跟别人协作过文档
[75:12] 然后Overleaf是有一个功能的
[75:14] 它可以把它当成是一个git repo导出
[75:17] 然后你可以直接这个时候我最喜欢这个功能
[75:21] 是因为我要给学生改论文
[75:22] 然后给学生改论文
[75:24] 我就可以直接agent启动
[75:26] 就我可以把那个那个论文克隆到本地
[75:28] 我就不需要忍受那个网页界面了
[75:31] 然后我就可以打开我的codex
[75:33] 然后让codex去帮我帮我直接起subagent的
[75:37] 给每一个给每一个.tex 文件都去修复
[75:41] 里面的这个语法错误
[75:42] 我可以我可以给一个这个我很长的prompt
[75:44] 让它让他遵循质量论文就改好了
[75:46] 我说学生好文化结束了
[75:47] 这个改也已经改好改好了
[75:50] 然后我们说这个playground
[75:52] 我可以
[75:53] 我难道不是应该我在我的学生每改改一次
[75:58] 对
[75:59] 比如说OK我不知道这样行不行
[76:06] 可以这个我难道不是学生每改一次
[76:10] 比如说我现在edit 了
[76:12] 或者我点运行了
[76:13] 或者我切换了
[76:14] 我就自动做一个git提交
[76:18] 然后我就可以把AI的点评
[76:20] 比如说当我申请AI助教的时候
[76:23] 他转圈圈
[76:23] 我就可以在这个git提交上面产生一个分叉
[76:29] 这是一个一个comment
[76:33] 咳ChatGPT没有算的是
[76:35] 我产生一个这个东西的成本
[76:38] 远远大于把这个把剩下的东西
[76:41] persist下来的成本
[76:44] 就这个成本是忽略不计的
[76:46] 而而当我用这个数据库的时候
[76:49] 我确实得到了一些好处
[76:50] 比如说总体压缩的可能更小了
[76:52] 效性能更高了
[76:53] 但是这其实其实不是我要的
[76:57] 因为我的本质
[76:58] 我的需求是版本管理
[77:02] 所以我甚至就在最早期的时候
[77:05] 甚至最早期的时候
[77:06] 我可以把我的代码库和这个东西连在一起
[77:09] 连连在一起的来关系
[77:10] 就把它放在我的代码库里
[77:12] 然后直到我
[77:13] 就是我的代码库
[77:19] 就我的我的小朋友的代码
[77:22] 就直接存在我的代码库里
[77:24] 然后我可以把探索性的在这上面创建
[77:27] git的历史记录
[77:28] 然后直到我认为整个的比如说文件目录的格式
[77:32] commit message的格式
[77:34] 然后我怎么样使用这些文件都收敛了
[77:37] 然后我再把它迁移到数据库
[77:39] 这都是
[77:40] 这都是可以的
[77:41] 我觉得这个就还是挺好玩的
[77:44] 你们学任何东西都是有用的
[77:46] 你学git
[77:47] 是有用的
[77:47] 你学这个mod agent的管理
[77:50] 你会
[77:51] 你就能够有一个机会去想到
[77:54] 一个和别人不一样的不太一样的设计诶我的
[78:05] 好在这里
[78:06] 还有一个好
[78:07] 那么接下来就是我们真的可以干一件
[78:14] 干一件事了
[78:17] 项目的早期阶段
[78:19] 你肯定不能用这个multi agent
[78:22] 项目的早期阶段
[78:23] 你就是包工头
[78:27] 你先找一个应该找一个相对来说能力比较强
[78:30] 你能够用到的最强的agent
[78:32] 然后你可以跟他多轮的对话
[78:35] 所以我要告诉大家
[78:37] 你们现在开始干就比什么都要好
[78:42] 我决定现在就开始直接
[78:47] 来sorry
[78:54] 直接打开课程作业好
[78:59] 我不知道发生会发生什么
[79:01] 完全没有事先准备过
[79:09] 我还是要不开开两个
[79:15] 好额
[79:18] 我们有两种办法
[79:19] 第一种是直接
[79:22] 然后直接回车
[79:23] 这个其实我觉得对于每个同学来说
[79:25] 你们都可以体验体验一下
[79:27] 当然我今天来替大家替大家体验
[79:30] 我觉得更好的方式是
[79:49] 这是什么
[80:10] 我们来观察一下它
[80:12] 它会他会做什么
[80:14] 就是
[80:15] 有时候AI的直觉和人的直觉就有点不太一样
[80:19] 像如果你像一线模型
[80:20] 它会进入一个plan mode
[80:22] 它会跟你再确认
[80:24] 可能会再确认一些事实
[80:25] 然后他再去会生成一个workflow
[80:28] 然后如果你们看过比较
[80:29] 其实其实其实挺好玩的
[80:30] 比如像Claude Code
[80:31] Claude Code
[80:32] 它当他需要执行一个比较复杂的任务的时候
[80:36] 它会生成一段JAVASCRIPT
[80:38] 一个一段typescript
[80:39] 然后这个text script里面有一个有一个函数叫agent
[80:44] 然后这个agent它里面是一个自然语言
[80:50] 当他用这种方式来组织workflow
[80:52] 他甚至可以有循环
[80:53] 就是说我有好多任务
[80:54] 然后他可以在循环上面上面
[80:55] 来解决这个啊workflow
[80:58] 然后你看到他这就直接开干了吗
[81:19] 用魔法对我
[81:21] 只能用魔法打败魔法
[81:22] 这个300token per second实在是太恐怖了
[81:31] 好OK
[81:34] 不管了
[81:35] 先让他先让他搞
[81:38] 搞一会我
[81:39] 然后你发现这就是我前面上面前前面说这个
[81:45] 上下文工程或者提示词工程里面最危险的一点
[81:48] 你提示词里面的每一句
[81:51] 每一个词
[81:53] self attention都会看到它
[81:55] 然后看到他的时候
[81:57] 因为AI现在已经被训练成了prompt的舔狗
[82:00] 所以它有一种无可就是没有办法往外拉的倾向
[82:06] 需要遵循你的指令
[82:07] 所以当你把这个需求
[82:09] 尤其是这可能是一个讨论稿的需求
[82:11] 像我像我这是一个比较开放的需求
[82:13] 丢给他的时候
[82:14] 他会过度遵循这个指令
[82:16] 最终导致它会生成一个确实满足了指令
[82:22] 但是其实不是你想要的
[82:25] 就是你回头看那个实验的要求
[82:27] 这个实验要求其实是言外之意
[82:32] 其实是这一句话
[82:34] 叫实现一个持续为你工作的个人助手
[82:37] 这句话最重要
[82:39] 其他的话相对来说就没有那么重要
[82:43] 这些只是一些解读
[82:44] 你作为一个好的为你工作的个人助手
[82:48] 你觉得12345是比较比较重要的
[82:52] 那你们觉得就是当然这每个人都有自己的观点
[82:55] 对你们来说
[82:56] 如果你想实现一个你的个人助手什么最重要
[83:02] 就你实现的第一个feature是什么
[83:04] 你想实现什么
[83:09] 最大的就是你在可能一个月以内
[83:11] 遇到的最大的痛点问题
[83:13] 学习
[83:16] 高效的学习和复习
[83:18] 因为你们要卷成绩
[83:19] 所以这毫无疑问是最重要的一个学习排版案
[83:22] 你可以你可以
[83:23] 最好是这agent能够自动从外网上面收集数据
[83:27] 然后把它以一个层次化的方式归档
[83:30] 然后最终并且给我一个比较好的界面
[83:33] 这是你最想要的
[83:34] 然后你看我估计他十有八九没有
[83:38] 我来看一下
[83:45] 我要问他
[83:47] 其实我想要的是一个比较好的学习助手
[83:56] 能收集外网信息
[84:01] 除了设计外网信息
[84:02] 然后综合总结
[84:04] 根据我的进度学习
[84:07] 看哪部分能实现我这个功能诶
[84:16] 读一读一读
[84:18] 然后他在做database
[84:21] 你看他在做database
[84:26] 可以可以这样说
[84:27] 就是在没有你精心设想过讨论过的这个时候
[84:34] AI基本上就只会生成slop
[84:38] 只只就只会生成 slop
[84:41] 你看他
[84:44] 他
[84:49] email
[84:54] 没有
[84:55] 也就是说其实你要的
[84:57] 就你脑袋里所想的那个东西
[85:00] 这就是我说的你的intent
[85:02] 你的specification
[85:03] 你的intention是有巨大gap的
[85:05] 然后但是当你一旦这个
[85:08] 这个模型看到说你要实现这个的时候
[85:11] 他就真的是真的去实现它了
[85:16] 然后我觉得肯定是做了一些不好的事情
[85:18] 比如说虽然当我提一卡通的时候
[85:22] 我真正需要的是一个browser use agent
[85:25] 它能帮我在各种网页上面处理
[85:28] 一卡通只是一个作为测试的出口
[85:30] 他能把我的个人信息到一卡通上面
[85:33] 所以我可能第一步实现的
[85:35] 就不需要去
[85:36] 在这个你的教务系统上面做太多的设计
[85:40] 你作为过度设计反而反而不好
[85:42] 然后这个就是和刚才我看给大家
[85:45] 给大家看的那个例子啊是非常相关的
[85:48] 你看起来他做的所有的事情都是对的
[85:53] 从从README.md来看
[85:55] 他做的所有的事情都是正确的
[85:58] 没有没有一个错误
[85:59] 但最终他得到了一个你不想要的要的东西
[86:02] 所以
[86:05] 我看现在有没有git提交了
[86:11] 他甚至都没有创建一个git repository
[86:16] 这就是你看你不跟他讲
[86:18] 当然我觉得可能如果是codex的话
[86:19] 他可能还是会初始化一个目录
[86:22] 或者他会问你这个项目应该怎么管理
[86:24] 就如果比如说我是一个成熟的产品经理的话
[86:27] 老板跟我说
[86:28] 这个以后我肯定会跟我的团队去沟通一下
[86:32] 项目怎么管
[86:33] 这个就在甚至在我写下第一行代码之前
[86:37] 我都要讨论好协作怎么做
[86:39] 项目怎么管
[86:40] 每天什么时候开会
[86:42] agent的很好玩
[86:43] 他就他就直接上手就上手就做
[86:46] 他觉得OK这就是一个用一次就丢掉的一个
[86:51] 一个东西
[86:52] 感觉他烧了我不少
[86:53] 可能烧了我不少
[86:54] token也无所谓了
[86:55] 这个我参与DPC哈里斯内测
[86:58] 他送了我1000块的额度
[86:59] 到现在还没有
[87:01] 还没有完全用完
[87:05] 所以你们在刚开始的时候还是回到项目
[87:11] 回到管管理脑袋里面
[87:14] 要有一个这样的模型
[87:15] 你不能直接把任务就丢给agent
[87:19] 你现在想的是
[87:22] 先第一件事一定是创建一个空的这个好
[87:27] 然后创建完了以后
[87:28] 你就会想你的下一步要迈向哪里
[87:32] 下一步我也给大家展示了
[87:34] 不能
[87:35] 不能这样
[87:36] 下一步不能不能是这样的
[87:38] 你需要的是往前再迈一小步
[87:44] 慢往前再迈一小步
[87:45] 所以你发现现在AI啊他从零开始做一个东西
[87:49] 做出来
[87:49] slop的难度比他到一个成熟的项目里面去
[87:53] 做一个维护性的任务要大很多
[87:57] 我们对软件工程的真正的要求
[88:00] 或者说我如果我要跟一个team
[88:03] 或者跟一个学生去谈论
[88:05] 我们要设计一个什么什么软件的时候
[88:08] 我的问题是你能不能以不变应万变
[88:11] 也就是说你现在软件设计一个架构
[88:14] 或者设计一个流程方法
[88:17] 能不能抵抗未来需求发生根本性的变化
[88:22] 所以你马上就看到在刚才那个例子里
[88:24] 就是数据库
[88:26] 说我要我要我要我要生成一个这个
[88:29] 要生成一个挣钱的产品
[88:31] 去挣这个宝妈们的钱
[88:33] 然后
[88:36] 我真正需要的是一个能扩展的架构
[88:41] 当未来有别的需求来了
[88:43] AI模型发生了变化
[88:45] 就我其实我在想这软件工程的时候
[88:48] 或者说我的合作模式发生了变化
[88:50] AI助教
[88:52] AI助教有可能是文字的助教
[88:53] 有可能是图像的助教
[88:55] 有可能有交互
[88:56] 有可能没有交互
[88:57] 它各种各样的需求在不断变化的时候
[89:03] 我还有没有可能我的架构
[89:05] 以最少的变化去应对需求的变化
[89:08] 而这个恰恰是大家在在软件工程课
[89:11] 也不讲这个这个数据库
[89:14] 这个操作系统课也不教
[89:15] 大家都说好
[89:16] 这个操作系统是长这样的
[89:17] 你啊为什么会
[89:18] 今天你会看到一个这样的操作系统
[89:20] 为什么会看到一个这样的数据库
[89:22] 数据库为什么要这样做
[89:23] 并发控制
[89:24] 都是有这样的一个一个原因
[89:27] 但软件软件工程说的最不一样的地方
[89:31] 就是对未来需求的变化
[89:33] 所以如果你们要
[89:37] 就是比如说这两节课
[89:39] 跟跟大家讲版本管理的时候
[89:42] 你要记得版本管理做的三件事
[89:46] 记住现在
[89:48] 记住历史
[89:49] 记住教训
[89:50] 这个是在agent的时代和软件工程
[89:53] 就古法编程的时代都成立了
[89:56] 你需要现在就是因为你必须要有一个repository
[89:59] 不管是这个形式
[89:59] 还是就现在的一个C或者C++的那Python
[90:03] JAVASCRIPT的项目
[90:03] 你都需要把文件管起来
[90:05] 那么你记住历史
[90:07] 是为了有一天你这个东西不要了
[90:10] 或者你删掉的一个东西
[90:12] 你最终发现对你是有用的
[90:14] 你还可以把它捞回来
[90:15] 然后在这个提交的历史过程当中
[90:18] 你能看到你是怎么演进到一个点
[90:21] 然后发现这件事情失败了
[90:22] 然后这个失败了
[90:23] 可能你会留在这
[90:24] 然后你会回到另外一个点
[90:25] 再开始另外一个
[90:27] 正确的
[90:28] 正正正确的路线
[90:30] 而这些东西都是在版本版本控制里的
[90:32] 然后这些lessons不停的都在警示你
[90:36] 你需要怎么做
[90:39] 你需要这个
[90:42] 你需要怎么样
[90:44] 从第一步开始迈出向后的一小步
[90:47] 那肯定显然不应该是看
[90:52] 他已经实现完了吗
[91:00] 提交人民奖学金申请
[91:02] 这
[91:04] 准备退课
[91:19] 看有没有git哎
[91:22] 他倒是做了一个提交
[91:25] 直接一个提交
[91:41] 引擎全部是真代码
[91:43] 手机端是真HTTP服务派是集成的
[91:49] 模拟的部分邮箱是没有的
[91:55] 哎好
[92:07] 它有一个入口层
[92:08] 它有一个编排层
[92:11] 有一个能力层
[92:13] 还是个非常非常典型的架构
[92:17] 数据层
[92:18] 我就不如不试图不试图re re review了
[92:24] 但显然他把它当成是一个是一个业务
[92:27] 逻辑系统来做
[92:28] 然后这其实是其实有非常大风险的
[92:30] 就是它看起来已经像一个教务系统了
[92:32] 哈哈这个软件已经看起来像一个教育系统
[92:34] 我下节课就会讲讲教务系统
[92:36] 而更其实现在更符合主流的best practice
[92:41] 如果你真的要从零开始构建的话
[92:43] 你要用一个叫MVP的paradigm
[92:45] 叫minimum
[92:47] viable product或者minimal viable product
[92:50] 有一个最小的验证版本
[92:53] 然后这有一句话叫the biggest risk in product development
[92:57] Is building something
[92:58] Nobody wants
[92:59] 就是你做的东西
[93:00] 就是你看他做的东西就是我不要的对
[93:05] 这个东西绝绝大部分东西其实不是我要的
[93:07] 我刚才在他登代码的时候
[93:09] 我解释了诶
[93:10] 我其实想要的是什么
[93:15] 所以如果你要做一个最小的版本
[93:18] 其实他逼迫的是你要想清楚
[93:23] 什么样的需求才是你绝对要的对
[93:26] 刚才我刚才我已经说了
[93:27] 如果我要一个课程的
[93:31] 就如果我要做一个个人的助手
[93:33] 我最想要的是他能有让我学
[93:35] 提升我学习效率的能力
[93:37] 和提升我工作效率的能力
[93:39] 你总结出了这两条以后
[93:42] 你可能在第一个这个MVP里面没有任何的数据库
[93:47] 因为你会想到在任何时候
[93:49] 当你文件系统膨胀的时候
[93:51] 你都可以说跟AI直接说好
[93:53] 按照这个数据的组织帮我提炼出一个数据库
[93:56] 这个问题就结束了
[93:57] 所以你不需要在刚开始的时候就做数据库
[94:01] 因为一旦你带上一个数据库
[94:03] 你每次数据库重构都需要让agent做这个database的迁移
[94:07] 但文件系统不一样
[94:08] 文件系统你自己自己就可以
[94:10] 在你的这个文件管理器里去调整它的目录结构
[94:17] 直逐渐梳理到你舒服的一个结构上
[94:20] 你看你在里面调文件
[94:22] 和你去调这个database的schema
[94:25] 你的心智负担是不一样的
[94:27] 人类已经训练过
[94:28] 对人类对直观的东西已经训练得非常舒服了
[94:31] 文件目录在计算机里面操作
[94:33] 你从小
